"MetaboliteName","FOBI","HMDB","KEGG","ChEBI","PubChem_CID","InChIKey","InChI_Code","ChemSpider"
"5-caffeoylquinic acid","FOBI:030399",NA,"C17147","CHEBI:16384","5280633","CWVRJTMFETXNAD-NXLLHMKUSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1","4444237"
"5-feruloylquinic acid","FOBI:030405",NA,NA,NA,"15901362","RAGZUCNPTLULOL-LWOZFZEPSA-N","InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15-,17+/m0/s1",NA
"5-hydroxyindole-3-acetic acid","FOBI:030705","HMDB00763","C05635","CHEBI:27823","1826","DUUGKQCEGZLZNO-UHFFFAOYSA-N","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)",NA
"5-(hydroxymethyl-2-furoyl)glycine","FOBI:030650",NA,NA,NA,"6537488","HBULKUDERNWOBN-UHFFFAOYSA-N","InChI=1S/C8H9NO5/c10-4-5-1-2-6(14-5)8(13)9-3-7(11)12/h1-2,10H,3-4H2,(H,9,13)(H,11,12)","5020627"
"5-n-heneicosylresorcinol","FOBI:030721",NA,NA,NA,"155461","BLHLKJLSYHEOGY-UHFFFAOYSA-N","InChI=1S/C27H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-22-26(28)24-27(29)23-25/h22-24,28-29H,2-21H2,1H3","136952"
"5-n-heptadecylresorcinol","FOBI:030719",NA,NA,NA,"181700","BBGNINPPDHJETF-UHFFFAOYSA-N","InChI=1S/C23H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21-18-22(24)20-23(25)19-21/h18-20,24-25H,2-17H2,1H3",NA
"5-n-nonadecylresorcinol","FOBI:030720",NA,NA,NA,"161858","PUNOCEUUYUXUGR-UHFFFAOYSA-N","InChI=1S/C25H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23-20-24(26)22-25(27)21-23/h20-22,26-27H,2-19H2,1H3",NA
"5-n-pentacosylresorcinol","FOBI:030723",NA,NA,NA,"155463","GDJMJAKVVSGNLA-UHFFFAOYSA-N","InChI=1S/C31H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-26-30(32)28-31(33)27-29/h26-28,32-33H,2-25H2,1H3","136954"
"5-n-pentadecylresorcinol","FOBI:030718",NA,"C10809","CHEBI:2120","76617","KVVSCMOUFCNCGX-UHFFFAOYSA-N","InChI=1S/C21H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-16-20(22)18-21(23)17-19/h16-18,22-23H,2-15H2,1H3","69081"
"5-n-tricosylresorcinol","FOBI:030722",NA,NA,NA,"155462","OHTBGMREZYLZQD-UHFFFAOYSA-N","InChI=1S/C29H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-24-28(30)26-29(31)25-27/h24-26,30-31H,2-23H2,1H3","136953"
"6-amino-5-(n-methylformylamino)-1-methyluracil","FOBI:030666",NA,NA,NA,"9920643","XWCBQDPCEYHYRB-UHFFFAOYSA-N","InChI=1S/C7H10N4O3/c1-3(12)9-4-5(8)11(2)7(14)10-6(4)13/h8H2,1-2H3,(H,9,12)(H,10,13,14)","8096278"
"6-methoxy-benzoxazolin-2-one","FOBI:030725",NA,NA,NA,"10772","MKMCJLMBVKHUMS-UHFFFAOYSA-N","InChI=1S/C8H7NO3/c1-11-5-2-3-6-7(4-5)12-8(10)9-6/h2-4H,1H3,(H,9,10)",NA
"7-methyluric acid","FOBI:030661","HMDB11107","C16355",NA,"69160","YHNNPKUFPWLTOP-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-2-3(8-6(10)13)7-5(12)9-4(2)11/h1H3,(H3,7,8,9,11,12,13)","62375"
"7-methylxanthine","FOBI:030654","HMDB01991","C16353","CHEBI:48991","68374","PFWLFWPASULGAN-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)","61660"
"acesulfame k","FOBI:030624",NA,"D08836",NA,"11074431 | 23683747","WBZFUFAFFUEMEI-UHFFFAOYSA-M","InChI=1S/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1","55940"
"acetyl-l-carnitine","FOBI:030707",NA,NA,"CHEBI:57589","7045767","RDHQFKQIGNGIED-MRVPVSSYSA-N","InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1","5406074"
"allyl methyl sulfide","FOBI:030681",NA,NA,NA,"66282","NVLPQIPTCCLBEU-UHFFFAOYSA-N","InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3",NA
"allyl methyl sulfone","FOBI:030683",NA,NA,NA,NA,"WOPDMJYIAAXDMN-UHFFFAOYSA-N","InChI=1S/C4H8O2S/c1-3-4-7(2,5)6/h3H,1,4H2,2H3",NA
"allyl methyl sulfoxide","FOBI:030682",NA,NA,NA,"10887844","JWWFEYMQBBFIRT-UHFFFAOYSA-N","InChI=1S/C4H8OS/c1-3-4-6(2)5/h3H,1,4H2,2H3","9063108"
"anserine","FOBI:030688","HMDB00194","C01262","CHEBI:18323 | CHEBI:58445","112072 | 6992114","MYYIAHXIVFADCU-QMMMGPOBSA-N","InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1",NA
"apigenin","FOBI:030553","HMDB02124","C01477","CHEBI:18388","5280443","KZNIFHPLKGYRTM-UHFFFAOYSA-N","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H","4444100"
"apigenin 7-glucuronide","FOBI:030554",NA,NA,NA,"5319484","JBFOLLJCGUCDQP-ZFORQUDYSA-N","InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1","4477775"
"arsenobetaine","FOBI:030710",NA,"C19331","CHEBI:82392","47364","SPTHHTGLGVZZRH-UHFFFAOYSA-N","InChI=1S/C5H11AsO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","43109"
"ascorbic acid","FOBI:030745","HMDB00044",NA,NA,NA,"TYQCGQRIZGCHNB-MVHIGOERSA-N","InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10-11H,1H2/t2-,5+/m1/s1","559144"
"atractyligenin glucuronide","FOBI:030623",NA,NA,NA,NA,NA,NA,NA
"bergaptol","FOBI:030523",NA,"C00758","CHEBI:17377 | CHEBI:52058","5280371","GIJHDGJRTUSBJR-UHFFFAOYSA-N","InChI=1S/C11H6O4/c12-10-2-1-6-9(15-10)5-8-7(11(6)13)3-4-14-8/h1-5,13H","4444066"
"bergaptol glucuronide","FOBI:030524",NA,NA,NA,NA,"VLWJVRACXDFSKC-UHFFFAOYSA-N","InChI=1S/C17H14O10/c18-10-2-1-6-9(25-10)5-8-7(3-4-24-8)14(6)26-17-13(21)11(19)12(20)15(27-17)16(22)23/h1-5,11-13,15,17,19-21H,(H,22,23)",NA
"bergaptol sulfate","FOBI:030525",NA,NA,NA,NA,"MUJRAVJMPBKDAH-UHFFFAOYSA-","InChI=1S/C11H6O7S/c12-10-2-1-6-9(17-10)5-8-7(3-4-16-8)11(6)18-19(13,14)15/h1-5H,(H,13,14,15)",NA
"biochanin a","FOBI:030547","HMDB02338","C00814","CHEBI:17574","5280373","WUADCCWRTIWANL-UHFFFAOYSA-N","InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3","4444068"
"biochanin a 7-glucuronide","FOBI:030548",NA,NA,NA,NA,"KXYGEGYBMOCKNJ-SXFAUFNYSA-N","InChI=1S/C22H20O11/c1-30-10-4-2-9(3-5-10)12-8-31-14-7-11(6-13(23)15(14)16(12)24)32-22-19(27)17(25)18(26)20(33-22)21(28)29/h2-8,17-20,22-23,25-27H,1H3,(H,28,29)/t17-,18-,19+,20-,22+/m0/s1",NA
"biochanin a 7-sulfate","FOBI:030549",NA,NA,NA,NA,"XSOANDKYUDOEER-UHFFFAOYSA-N","InChI=1S/C16H12O8S/c1-22-10-4-2-9(3-5-10)12-8-23-14-7-11(24-25(19,20)21)6-13(17)15(14)16(12)18/h2-8,17H,1H3,(H,19,20,21)",NA
"caffeic acid","FOBI:030392","HMDB01964",NA,"CHEBI:17395","1549111","QAIPRVGONGVQAS-RQOWECAXSA-N","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-","1266077"
"caffeic acid 3-glucuronide","FOBI:030393",NA,NA,NA,"25171992","BSOMSDFTZKNUHY-ZYZFHZPYSA-N","InChI=1S/C15H16O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1",NA
"caffeic acid 3-sulfate","FOBI:030395",NA,NA,NA,"102261219","VWQNTRNACRFUCQ-DUXPYHPUSA-N","InChI=1S/C9H8O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+",NA
"caffeic acid 4-glucuronide","FOBI:030394",NA,NA,NA,"25171780","LTGOIJNQWZWJRF-ZYZFHZPYSA-N","InChI=1S/C15H16O10/c16-7-5-6(2-4-9(17)18)1-3-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1",NA
"caffeic acid 4-sulfate","FOBI:030396",NA,NA,NA,"21668705","SNVAIAITQIIEMQ-DUXPYHPUSA-N","InChI=1S/C9H8O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+",NA
"caffeine","FOBI:030658","HMDB01847","C07481 | D00528","CHEBI:27732","2519","RYYVLZVUVIJVGH-UHFFFAOYSA-N","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",NA
"carnosine","FOBI:030687","HMDB00033","C00386","CHEBI:15727 | CHEBI:57485","439224 | 6992100","CQOVPNPJLQNMDC-ZETCQYMHSA-N","InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1","388363"
"catechin","FOBI:030460","HMDB02780","C06562","CHEBI:15600","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",NA
"catechin 3'-sulfate","FOBI:08652",NA,NA,NA,NA,"VBSMBNMUYITMLB-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
"catechin 4'-glucuronide","FOBI:08646",NA,NA,NA,NA,"FXAMKGHSKXKNHR-DAURTTLQSA-N","InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15-,16-,17?,18+,19?,21+/m0/s1",NA
"catechin 4'-sulfate","FOBI:08653",NA,NA,NA,NA,"YKRWCINYMPRAIG-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
"catechin 5-glucuronide","FOBI:08647",NA,NA,NA,NA,"KGLMKAPOVXBIJB-AKIQRXPNSA-N","InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18+,19+,21-/m1/s1",NA
"catechin 5-sulfate","FOBI:08654",NA,NA,NA,NA,"MWSSRHFQMROXGK-SWLSCSKDSA-N","InChI=1S/C15H14O9S/c16-8-4-13-9(14(5-8)24-25(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
"catechol","FOBI:030444","HMDB00957","C00090 | C01785 | C15571","CHEBI:18135","289","YCIMNLLNPGFGHC-UHFFFAOYSA-N","InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H","11181185 | 11316606 | 13623450 | 13837760 | 14453269"
"catechol glucuronide","FOBI:030445",NA,NA,NA,"75124209","ICPYZFZFSLTYID-GOVZDWNOSA-N","InChI=1S/C12H14O8/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12-16H,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1",NA
"catechol sulfate","FOBI:030446",NA,NA,"CHEBI:68505","3083879","MZPWKJZDOCIALD-UHFFFAOYSA-N","InChI=1S/C6H6O5S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4,7H,(H,8,9,10)","2341024"
"cis-resveratrol","FOBI:030591",NA,NA,"CHEBI:36002","1548910","LUKBXSAWLPMMSZ-UPHRSURJSA-N","InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1-","1265933"
"cis-resveratrol 3-glucuronide","FOBI:030594",NA,NA,NA,"29986850","QWSAYEBSTMCFKY-BMPGWQKJSA-N","InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",NA
"cis-resveratrol 3-sulfate","FOBI:030598",NA,NA,NA,"129848988","DULQFFCIVGYOFH-UPHRSURJSA-N","InChI=1S/C14H12O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-",NA
"cis-resveratrol 4'-glucuronide","FOBI:030595",NA,NA,NA,"71752003","CDEBVTGYVFHDMA-BMPGWQKJSA-N","InChI=1S/C20H20O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",NA
"cis-resveratrol 4'-sulfate","FOBI:030599",NA,NA,NA,"97107241","KOTTWDFKZULRPN-UPHRSURJSA-N","InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-",NA
"citric acid","FOBI:030631","HMDB00094","C00158 | D00037","CHEBI:30769","19782904 | 311 | 88113319","KRKNYBCHXYNGOX-UHFFFAOYSA-N","InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)","305"
"creatinine","FOBI:030708","HMDB00562","C00791 | D03600","CHEBI:16737","588","DDRJAANPRJIHGJ-UHFFFAOYSA-N","InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)","13325157 | 568"
"curcumin glucuronide","FOBI:030610",NA,NA,NA,"71315012","BNSAVBGHRVFVNN-XSCLDSQRSA-N","InChI=1S/C27H28O12/c1-36-20-11-14(5-9-18(20)30)3-7-16(28)13-17(29)8-4-15-6-10-19(21(12-15)37-2)38-27-24(33)22(31)23(32)25(39-27)26(34)35/h3-12,22-25,27,30-33H,13H2,1-2H3,(H,34,35)/b7-3+,8-4+/t22-,23-,24+,25-,27+/m0/s1",NA
"curcumin sulfate","FOBI:030611",NA,NA,NA,NA,"NEJVQQBBTRFOHB-FCXRPNKRSA-N","InChI=1S/C21H20O9S/c1-28-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(21(12-15)29-2)30-31(25,26)27/h3-12,24H,13H2,1-2H3,(H,25,26,27)/b7-3+,8-4+",NA
"cyanidin 3-glucoside","FOBI:030633",NA,NA,NA,"197081","YTMNONATNXDQJF-UBNZBFALSA-N","InChI=1S/C21H20O11.ClH/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8;/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26);1H/t16-,17-,18+,19-,21-;/m1./s1",NA
"cyanocobalamin","FOBI:030744","HMDB0000607","C02823","CHEBI:17439","129627537","FDJOLVPMNUYSCM-WZHZPDAFSA-L","InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;-1;+3/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;/m1../s1",NA
"cyclamate","FOBI:030625",NA,"C02824 | D02442","CHEBI:15964","7533","HCAJEUSONLESMK-UHFFFAOYSA-N","InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)","15484224"
"cyclo(l-leucyl-l-prolyl)","FOBI:030668",NA,NA,NA,"7074739","SZJNCZMRZAUNQT-IUCAKERBSA-N","InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1","5428292"
"cyclo(l-prolyl-l-valyl)","FOBI:030669",NA,NA,"CHEBI:69439","6992261","XLUAWXQORJEMBD-YUMQZZPRSA-N","InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)/t7-,8-/m0/s1","5360404"
"daidzein","FOBI:030530","HMDB03312","C10208","CHEBI:28197","5281708","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H","4445025"
"daidzein 4'-glucuronide","FOBI:030531",NA,NA,NA,"23930394","ATUYSKUVHUPXBV-ZFORQUDYSA-N","InChI=1S/C21H18O10/c22-10-3-6-12-14(7-10)29-8-13(15(12)23)9-1-4-11(5-2-9)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1",NA
"daidzein 4'-glucuronide-7-sulfate","FOBI:030535",NA,NA,NA,NA,"HQYWZCFQCBVQJZ-HGMWCATMSA-N","InChI=1S/C21H18O13S/c22-15-12-6-5-11(34-35(28,29)30)7-14(12)31-8-13(15)9-1-3-10(4-2-9)32-21-18(25)16(23)17(24)19(33-21)20(26)27/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17?,18?,19-,21+/m1/s1",NA
"daidzein 4'-sulfate","FOBI:030536",NA,NA,NA,"12114463","CQRHJEVIKOKQMO-UHFFFAOYSA-N","InChI=1S/C15H10O7S/c16-10-3-6-12-14(7-10)21-8-13(15(12)17)9-1-4-11(5-2-9)22-23(18,19)20/h1-8,16H,(H,18,19,20)","13076689"
"daidzein 7-glucuronide","FOBI:030532",NA,NA,NA,"11316354","MMIBOZXVZLENRZ-ZFORQUDYSA-N","InChI=1S/C21H18O10/c22-10-3-1-9(2-4-10)13-8-29-14-7-11(5-6-12(14)15(13)23)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1","9491321"
"daidzein 7-glucuronide-4'-sulfate","FOBI:030534",NA,NA,NA,NA,"GFHHFNZYJNKWPT-ZFORQUDYSA-N","InChI=1S/C21H18O13S/c22-15-12-6-5-11(32-21-18(25)16(23)17(24)19(33-21)20(26)27)7-14(12)31-8-13(15)9-1-3-10(4-2-9)34-35(28,29)30/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17-,18+,19-,21+/m0/s1",NA
"daidzein diglucuronide","FOBI:030533",NA,NA,NA,NA,"NSJKNMPSMHSBQD-MWBUVXCNSA-N","InChI=1S/C27H26O16/c28-15-12-6-5-11(41-27-21(34)17(30)19(32)23(43-27)25(37)38)7-14(12)39-8-13(15)9-1-3-10(4-2-9)40-26-20(33)16(29)18(31)22(42-26)24(35)36/h1-8,16-23,26-27,29-34H,(H,35,36)(H,37,38)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1",NA
"delphinidin 3-glucoside","FOBI:030634",NA,"C12138","CHEBI:31463","443650","XENHPQQLDPAYIJ-PEVLUNPASA-O","InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1","391783"
"dihydrocaffeic acid","FOBI:030422","HMDB00423","C10447","CHEBI:48400","348154","DZAUWHJDUNRCTF-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)","308986"
"dihydrocaffeic acid 3-glucuronide","FOBI:030423",NA,NA,NA,"49844972","AELQNMHOLDHBFA-DKBOKBLXSA-N","InChI=1S/C15H18O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1,3,5,10-13,15-16,19-21H,2,4H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1",NA
"dihydrocaffeic acid 3-sulfate","FOBI:030424",NA,NA,NA,"49844181","MIMULQQHBAZGER-UHFFFAOYSA-N","InChI=1S/C9H10O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)",NA
"dihydroferulic acid","FOBI:030425",NA,NA,NA,"14340","BOLQJTPHPSDZHR-UHFFFAOYSA-N","InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",NA
"dihydroferulic acid 4-glucuronide","FOBI:030427",NA,NA,NA,"190069","KYERCTIKYSSKPA-JHZZJYKESA-N","InChI=1S/C16H20O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1",NA
"dihydroferulic acid 4-sulfate","FOBI:030429",NA,NA,NA,"187489","UMCDODPBPQMWQP-UHFFFAOYSA-N","InChI=1S/C10H12O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)",NA
"dihydroisoferulic acid","FOBI:030426",NA,NA,NA,"2752054","ZVIJTQFTLXXGJA-UHFFFAOYSA-N","InChI=1S/C10H12O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)","2033192"
"dihydroisoferulic acid 3-glucuronide","FOBI:030428",NA,NA,NA,"49844034","OSJGZCUHTGTJHT-JHZZJYKESA-N","InChI=1S/C16H20O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1",NA
"dihydroisoferulic acid 3-sulfate","FOBI:030430",NA,NA,NA,"49844179","QZIYZVFIROFZCV-UHFFFAOYSA-N","InChI=1S/C10H12O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)",NA
"dihydroresveratrol","FOBI:030600",NA,"C10255","CHEBI:4582","185914","HITJFUSPLYBJPE-UHFFFAOYSA-N","InChI=1S/C14H14O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h3-9,15-17H,1-2H2",NA
"dihydroresveratrol 3-glucuronide","FOBI:030601",NA,NA,"CHEBI:84039","86583350","NXXGJRZWYCYPCB-HBWRTXEVSA-N","InChI=1S/C20H22O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1",NA
"dihydroresveratrol 3-sulfate","FOBI:030603",NA,NA,"CHEBI:84038","86583349","KAVKAZLSONPCRU-UHFFFAOYSA-N","InChI=1S/C14H14O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h3-9,15-16H,1-2H2,(H,17,18,19)",NA
"dihydroresveratrol 4'-glucuronide","FOBI:030602",NA,NA,NA,NA,"MATKIWLWARSJPU-HBWRTXEVSA-N","InChI=1S/C20H22O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1",NA
