MetaboliteName,FBOnto,HMDB,KEGG,ChEBI,PubChem,InChIKey,InChI Code,ChemSpider
7-methylxanthine,FB_030654,HMDB01991,C16353,CHEBI:48991,68374,PFWLFWPASULGAN-UHFFFAOYSA-N,"InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)",61660
acesulfame_k,FB_030624,NA,NA,NA,11074431,WBZFUFAFFUEMEI-UHFFFAOYSA-M,"InChI=1S/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1",NA
acetyl-l-carnitine,FB_030707,NA,NA,NA,7045767,RDHQFKQIGNGIED-MRVPVSSYSA-N,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",NA
allyl_methyl_sulfide,FB_030681,NA,NA,NA,66282,NVLPQIPTCCLBEU-UHFFFAOYSA-N,"InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3",NA
allyl_methyl_sulfone,FB_030683,NA,NA,NA,NA,WOPDMJYIAAXDMN-UHFFFAOYSA-N,"InChI=1S/C4H8O2S/c1-3-4-7(2,5)6/h3H,1,4H2,2H3",NA
allyl_methyl_sulfoxide,FB_030682,NA,NA,NA,10887844,JWWFEYMQBBFIRT-UHFFFAOYSA-N,"InChI=1S/C4H8OS/c1-3-4-6(2)5/h3H,1,4H2,2H3",NA
anserine,FB_030688,HMDB00194,C01262,CHEBI:18323,112072,MYYIAHXIVFADCU-QMMMGPOBSA-N,"InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1",NA
apigenin,FB_030553,HMDB02124,C01477,CHEBI:18388,5280443,KZNIFHPLKGYRTM-UHFFFAOYSA-N,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",4444100
apigenin_7-glucuronide,FB_030554,NA,NA,NA,5319484,JBFOLLJCGUCDQP-ZFORQUDYSA-N,"InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1",NA
arsenobetaine,FB_030710,NA,NA,NA,47364,SPTHHTGLGVZZRH-UHFFFAOYSA-N,"InChI=1S/C5H11AsO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",NA
ascorbic_acid,FB_030745,HMDB00044,NA,NA,235 5785 157946 644104 23667548 24847949 24847959 2484796025152846 44229109,TYQCGQRIZGCHNB-MVHIGOERSA-N,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10-11H,1H2/t2-,5+/m1/s1",559144
atractyligenin_glucuronide,FB_030623,NA,NA,NA,NA,NA,NA,NA
bergaptol,FB_030523,NA,NA,NA,5280371,GIJHDGJRTUSBJR-UHFFFAOYSA-N,"InChI=1S/C11H6O4/c12-10-2-1-6-9(15-10)5-8-7(11(6)13)3-4-14-8/h1-5,13H",NA
bergaptol_glucuronide,FB_030524,NA,NA,NA,NA,VLWJVRACXDFSKC-UHFFFAOYSA-N,"InChI=1S/C17H14O10/c18-10-2-1-6-9(25-10)5-8-7(3-4-24-8)14(6)26-17-13(21)11(19)12(20)15(27-17)16(22)23/h1-5,11-13,15,17,19-21H,(H,22,23)",NA
bergaptol_sulfate,FB_030525,NA,NA,NA,NA,MUJRAVJMPBKDAH-UHFFFAOYSA-,"InChI=1S/C11H6O7S/c12-10-2-1-6-9(17-10)5-8-7(3-4-16-8)11(6)18-19(13,14)15/h1-5H,(H,13,14,15)",NA
biochanin_a,FB_030547,HMDB02338,C00814,CHEBI:17574,5280373,WUADCCWRTIWANL-UHFFFAOYSA-N,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3",4444068
biochanin_a_7-glucuronide,FB_030548,NA,NA,NA,NA,KXYGEGYBMOCKNJ-SXFAUFNYSA-N,"InChI=1S/C22H20O11/c1-30-10-4-2-9(3-5-10)12-8-31-14-7-11(6-13(23)15(14)16(12)24)32-22-19(27)17(25)18(26)20(33-22)21(28)29/h2-8,17-20,22-23,25-27H,1H3,(H,28,29)/t17-,18-,19+,20-,22+/m0/s1",NA
biochanin_a_7-sulfate,FB_030549,NA,NA,NA,NA,NA,NA,NA
caffeic_acid,FB_030392,HMDB01964,NA,CHEBI:17395,1549111,QAIPRVGONGVQAS-RQOWECAXSA-N,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-",1266077
caffeic_acid_3-glucuronide,FB_030393,NA,NA,NA,25171992,BSOMSDFTZKNUHY-ZYZFHZPYSA-N,"InChI=1S/C15H16O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1",NA
caffeic_acid_3-sulfate,FB_030395,NA,NA,NA,102261219,VWQNTRNACRFUCQ-DUXPYHPUSA-N,"InChI=1S/C9H8O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+",NA
caffeic_acid_4-glucuronide,FB_030394,NA,NA,NA,25171780,LTGOIJNQWZWJRF-ZYZFHZPYSA-N,"InChI=1S/C15H16O10/c16-7-5-6(2-4-9(17)18)1-3-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1",NA
caffeic_acid_4-sulfate,FB_030396,NA,NA,NA,21668705,SNVAIAITQIIEMQ-DUXPYHPUSA-N,"InChI=1S/C9H8O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+",NA
caffeine,FB_030658,HMDB01847,C07481,CHEBI:27732,2519,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",NA
carnosine,FB_030687,HMDB00033,C00386,CHEBI:15727,439224,CQOVPNPJLQNMDC-ZETCQYMHSA-N,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",388363
catechin,FB_030460,HMDB02780,C06562,CHEBI:15600,9064,PFTAWBLQPZVEMU-DZGCQCFKSA-N,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",NA
catechin_3'-sulfate,FB_08652,NA,NA,NA,NA,VBSMBNMUYITMLB-SWLSCSKDSA-N,"InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
catechin_4'-glucuronide,FB_08646,NA,NA,NA,NA,FXAMKGHSKXKNHR-DAURTTLQSA-N,"InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15-,16-,17?,18+,19?,21+/m0/s1",NA
catechin_4'-sulfate,FB_08653,NA,NA,NA,NA,YKRWCINYMPRAIG-SWLSCSKDSA-N,"InChI=1S/C15H14O9S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
catechin_5-glucuronide,FB_08647,NA,NA,NA,NA,KGLMKAPOVXBIJB-AKIQRXPNSA-N,"InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18+,19+,21-/m1/s1",NA
catechin_5-sulfate,FB_08654,NA,NA,NA,NA,MWSSRHFQMROXGK-SWLSCSKDSA-N,"InChI=1S/C15H14O9S/c16-8-4-13-9(14(5-8)24-25(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15+/m0/s1",NA
catechol,FB_030444,HMDB00957,C00090,CHEBI:18135,289,YCIMNLLNPGFGHC-UHFFFAOYSA-N,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",NA
catechol_glucuronide,FB_030445,NA,NA,NA,75124209,ICPYZFZFSLTYID-GOVZDWNOSA-N,"InChI=1S/C12H14O8/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12-16H,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1",NA
catechol_sulfate,FB_030446,NA,NA,NA,3083879,MZPWKJZDOCIALD-UHFFFAOYSA-N,"InChI=1S/C6H6O5S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4,7H,(H,8,9,10)",NA
cis-resveratrol,FB_030591,NA,NA,NA,1548910,LUKBXSAWLPMMSZ-UPHRSURJSA-N,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1-",NA
cis-resveratrol_3-glucuronide,FB_030594,NA,NA,NA,29986850,QWSAYEBSTMCFKY-BMPGWQKJSA-N,"InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",NA
cis-resveratrol_3-sulfate,FB_030598,NA,NA,NA,129848988,DULQFFCIVGYOFH-UPHRSURJSA-N,"InChI=1S/C14H12O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-",NA
cis-resveratrol_4'-glucuronide,FB_030595,NA,NA,NA,71752003,CDEBVTGYVFHDMA-BMPGWQKJSA-N,"InChI=1S/C20H20O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",NA
cis-resveratrol_4'-sulfate,FB_030599,NA,NA,NA,97107241,KOTTWDFKZULRPN-UPHRSURJSA-N,"InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-",NA
citric_acid,FB_030631,HMDB00094,C00158,CHEBI:30769,19782904,KRKNYBCHXYNGOX-UHFFFAOYSA-N,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",305
creatinine,FB_030708,HMDB00562,C00791,CHEBI:16737,588,DDRJAANPRJIHGJ-UHFFFAOYSA-N,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",13325157
curcumin_glucuronide,FB_030610,NA,NA,NA,71315012,BNSAVBGHRVFVNN-XSCLDSQRSA-N,"InChI=1S/C27H28O12/c1-36-20-11-14(5-9-18(20)30)3-7-16(28)13-17(29)8-4-15-6-10-19(21(12-15)37-2)38-27-24(33)22(31)23(32)25(39-27)26(34)35/h3-12,22-25,27,30-33H,13H2,1-2H3,(H,34,35)/b7-3+,8-4+/t22-,23-,24+,25-,27+/m0/s1",NA
curcumin_sulfate,FB_030611,NA,NA,NA,NA,NEJVQQBBTRFOHB-FCXRPNKRSA-N,"InChI=1S/C21H20O9S/c1-28-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(21(12-15)29-2)30-31(25,26)27/h3-12,24H,13H2,1-2H3,(H,25,26,27)/b7-3+,8-4+",NA
cyanidin_3-glucoside,FB_030633,NA,NA,NA,197081,YTMNONATNXDQJF-UBNZBFALSA-N,"InChI=1S/C21H20O11.ClH/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8;/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26);1H/t16-,17-,18+,19-,21-;/m1./s1",NA
cyanocobalamin,FB_030744,HMDB00607,NA,undefined,4289526 5311498 5462245 5479203 6474318 6604202 1088774311970261 16212801 16686079 23644563 24188898 24847895 2484794924847959 24847960 24848034 24848138 24892734 25102581 2524461944135002 44176380,OMMIPRZQPZFETQ-UVKKECPRSA-P,NA,NA
cyclamate,FB_030625,NA,NA,NA,7533,HCAJEUSONLESMK-UHFFFAOYSA-N,"InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)",NA
cyclo(l-leucyl-l-prolyl),FB_030668,NA,NA,NA,7074739,SZJNCZMRZAUNQT-IUCAKERBSA-N,"InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1",NA
cyclo(l-prolyl-l-valyl),FB_030669,NA,NA,NA,6992261,XLUAWXQORJEMBD-YUMQZZPRSA-N,"InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)/t7-,8-/m0/s1",NA
daidzein,FB_030530,HMDB03312,C10208,CHEBI:28197,5281708,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",4445025
daidzein_4'-glucuronide,FB_030531,NA,NA,NA,23930394,ATUYSKUVHUPXBV-ZFORQUDYSA-N,"InChI=1S/C21H18O10/c22-10-3-6-12-14(7-10)29-8-13(15(12)23)9-1-4-11(5-2-9)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1",NA
daidzein_4'-glucuronide-7-sulfate,FB_030535,NA,NA,NA,NA,NA,NA,NA
daidzein_4'-sulfate,FB_030536,NA,NA,NA,12114463,CQRHJEVIKOKQMO-UHFFFAOYSA-N,"InChI=1S/C15H10O7S/c16-10-3-6-12-14(7-10)21-8-13(15(12)17)9-1-4-11(5-2-9)22-23(18,19)20/h1-8,16H,(H,18,19,20)",NA
daidzein_7-glucuronide,FB_030532,NA,NA,NA,11316354,MMIBOZXVZLENRZ-ZFORQUDYSA-N,"InChI=1S/C21H18O10/c22-10-3-1-9(2-4-10)13-8-29-14-7-11(5-6-12(14)15(13)23)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1",NA
daidzein_7-glucuronide-4'-sulfate,FB_030534,NA,NA,NA,NA,GFHHFNZYJNKWPT-ZFORQUDYSA-N,"InChI=1S/C21H18O13S/c22-15-12-6-5-11(32-21-18(25)16(23)17(24)19(33-21)20(26)27)7-14(12)31-8-13(15)9-1-3-10(4-2-9)34-35(28,29)30/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17-,18+,19-,21+/m0/s1",NA
daidzein_diglucuronide,FB_030533,NA,NA,NA,NA,NSJKNMPSMHSBQD-MWBUVXCNSA-N,"InChI=1S/C27H26O16/c28-15-12-6-5-11(41-27-21(34)17(30)19(32)23(43-27)25(37)38)7-14(12)39-8-13(15)9-1-3-10(4-2-9)40-26-20(33)16(29)18(31)22(42-26)24(35)36/h1-8,16-23,26-27,29-34H,(H,35,36)(H,37,38)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1",NA
delphinidin_3-glucoside,FB_030634,NA,NA,NA,443650,XENHPQQLDPAYIJ-PEVLUNPASA-O,"InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1",NA
dihydrocaffeic_acid,FB_030422,HMDB00423,C10447,CHEBI:48400,348154,DZAUWHJDUNRCTF-UHFFFAOYSA-N,"InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)",NA
dihydrocaffeic_acid_3-glucuronide,FB_030423,NA,NA,NA,49844972,AELQNMHOLDHBFA-DKBOKBLXSA-N,"InChI=1S/C15H18O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1,3,5,10-13,15-16,19-21H,2,4H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1",NA
dihydrocaffeic_acid_3-sulfate,FB_030424,NA,NA,NA,49844181,MIMULQQHBAZGER-UHFFFAOYSA-N,"InChI=1S/C9H10O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)",NA
dihydroferulic_acid,FB_030425,NA,NA,NA,14340,BOLQJTPHPSDZHR-UHFFFAOYSA-N,"InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",NA
dihydroferulic_acid_4-glucuronide,FB_030427,NA,NA,NA,190069,KYERCTIKYSSKPA-JHZZJYKESA-N,"InChI=1S/C16H20O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1",NA
dihydroferulic_acid_4-sulfate,FB_030429,NA,NA,NA,187489,UMCDODPBPQMWQP-UHFFFAOYSA-N,"InChI=1S/C10H12O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)",NA
dihydroisoferulic_acid,FB_030426,NA,NA,NA,2752054,ZVIJTQFTLXXGJA-UHFFFAOYSA-N,"InChI=1S/C10H12O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",NA
dihydroisoferulic_acid_3-glucuronide,FB_030428,NA,NA,NA,49844034,OSJGZCUHTGTJHT-JHZZJYKESA-N,"InChI=1S/C16H20O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1",NA
dihydroisoferulic_acid_3-sulfate,FB_030430,NA,NA,NA,49844179,QZIYZVFIROFZCV-UHFFFAOYSA-N,"InChI=1S/C10H12O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)",NA
dihydroresveratrol,FB_030600,NA,NA,NA,185914,HITJFUSPLYBJPE-UHFFFAOYSA-N,"InChI=1S/C14H14O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h3-9,15-17H,1-2H2",NA
dihydroresveratrol_3-glucuronide,FB_030601,NA,NA,NA,86583350,NXXGJRZWYCYPCB-HBWRTXEVSA-N,"InChI=1S/C20H22O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1",NA
dihydroresveratrol_3-sulfate,FB_030603,NA,NA,NA,86583349,KAVKAZLSONPCRU-UHFFFAOYSA-N,"InChI=1S/C14H14O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h3-9,15-16H,1-2H2,(H,17,18,19)",NA
dihydroresveratrol_4'-glucuronide,FB_030602,NA,NA,NA,NA,MATKIWLWARSJPU-HBWRTXEVSA-N,"InChI=1S/C20H22O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1",NA
dihydroresveratrol_4'-sulfate,FB_030604,NA,NA,NA,NA,VPKVLRCNQRSXLW-UHFFFAOYSA-N,"InChI=1S/C14H14O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h3-9,15-16H,1-2H2,(H,17,18,19)",NA
dihydroxybenzoic_acid_glucuronide_1,FB_030334,NA,NA,NA,NA,NA,NA,NA
dihydroxybenzoic_acid_glucuronide_2,FB_030335,NA,NA,NA,NA,NA,NA,NA
dihydroxybenzoic_acid_sulfate,FB_030339,NA,NA,NA,NA,NA,NA,NA
docosahexaenoic_acid,FB_030743,HMDB02183,C06429,CHEBI:28125,445580,MBMBGCFOFBJSGT-KUBAVDMBSA-N,"InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-",NA
d-pinitol,FB_030755,NA,NA,NA,164619,DSCFFEYYQKSRSV-FEPQRWDDSA-N,"InChI=1S/C7H14O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h2-12H,1H3/t2?,3-,4-,5-,6+,7?/m0/s1",NA
eicosapentaenoic_acid,FB_030742,HMDB01999,C06428,CHEBI:28364,446284,JAZBEHYOTPTENJ-JLNKQSITSA-N,"InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-",NA
enterodiol,FB_030615,HMDB05056,C18166,CHEBI:81556,115089,DWONJCNDULPHLV-HOTGVXAUSA-N,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1",NA
enterodiol_glucuronide,FB_030616,NA,NA,NA,NA,NA,NA,NA
enterodiol_sulfate,FB_030617,NA,NA,NA,NA,NA,NA,NA
enterolactone,FB_030612,HMDB06101,NA,NA,123917,HVDGDHBAMCBBLR-UHFFFAOYSA-N,"InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2",NA
enterolactone_glucuronide,FB_030613,NA,NA,NA,NA,NA,NA,NA
enterolactone_sulfate,FB_030614,NA,NA,NA,NA,NA,NA,NA
epicatechin,FB_030461,HMDB01871,C09727,CHEBI:90,72276,PFTAWBLQPZVEMU-UKRRQHHQSA-N,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",65230
epicatechin-3-gallate,FB_030485,NA,NA,NA,65056,LSHVYAFMTMFKBA-FPOVZHCZSA-N,"InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21-/m0/s1",NA
epicatechin_3'-glucuronide,FB_08648,NA,NA,NA,76969982,BUONZQIZWIITTB-CVPXIJHMSA-N,"InChI=1S/C21H22O12/c22-8-4-11(24)9-6-12(25)18(31-13(9)5-8)7-1-2-10(23)14(3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18-,19+,21-/m1/s1",NA
epicatechin_3-sulfate,FB_08655,NA,NA,NA,NA,FLSYXGAHKYHTCZ-HUUCEWRRSA-N,"InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-14(24-25(20,21)22)15(23-13(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,14-19H,6H2,(H,20,21,22)/t14-,15-/m1/s1",NA
epicatechin_3'-sulfate,FB_08656,NA,NA,NA,71260094,VBSMBNMUYITMLB-IUODEOHRSA-N,"InChI=1S/C15H14O9S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1",NA
epicatechin_4'-glucuronide,FB_08649,NA,NA,NA,NA,FXAMKGHSKXKNHR-CVPXIJHMSA-N,"InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12-,15+,16+,17-,18-,19+,21-/m1/s1",NA
epicatechin_4'-sulfate,FB_08657,NA,NA,NA,71579043,YKRWCINYMPRAIG-IUODEOHRSA-N,"InChI=1S/C15H14O9S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1",NA
epicatechin_5-glucuronide,FB_08650,NA,NA,NA,NA,KGLMKAPOVXBIJB-SNFOCDISSA-N,"InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)/t12?,15-,16-,17+,18?,19-,21+/m0/s1",NA
epicatechin_5-sulfate,FB_08658,NA,NA,NA,71579119,MWSSRHFQMROXGK-IUODEOHRSA-N,"InChI=1S/C15H14O9S/c16-8-4-13-9(14(5-8)24-25(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/t12-,15-/m1/s1",NA
