Entity;Type;Superclass(es);BiomarkerOf;Contains;
'genistein diglucuronide';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'genistein 4'-glucuronide-7-sulfate';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'genistein 7-glucuronide-4'-sulfate';Class;'Isoflavonoid O-glycosides';"''soybean (whole)''	''legume food product''";;
'genistein 7-sulfate';Class;Isoflavones;"''soybean (whole)''	''legume food product''";;
'equol 7-glucuronide';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'equol 4'-sulfate';Class;Isoflavanols;"''soybean (whole)''	''legume food product''";;
'biochanin a 7-glucuronide';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'biochanin a 7-sulfate';Class;4'-O-methylisoflavones;"''legume food product''	''soybean (whole)''";;
'formononetin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''legume food product''	''soybean (whole)''";;
'formononetin 7-sulfate';Class;4'-O-methylisoflavones;"''legume food product''	''soybean (whole)''";;
'apigenin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''nut (whole or part)''	''legume food product''	''red wine''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''vegetable food product''";;
'luteolin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''olive oil''	''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''";;
'quercetin 3-glucuronide';Class;Flavonoid-3-O-glucuronides;"''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''";;
'quercetin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''Whole grain cereal products''	''vegetable food product''	''olive oil''	''nut (whole or part)''	''red wine''	''legume food product''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'quercetin 3'-sulfate';Class;Flavonols;"''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''legume food product''	''red wine''	''plant fruit food product''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;
'isorhamnetin 3-glucuronide';Class;Flavonoid-3-O-glucuronides;"''red wine''	''vegetable food product''	''Whole grain cereal products''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
'isorhamnetin 3-sulfate';Class;'3'-O-methylated flavonoids';"''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'kaempferol 3-sulfate';Class;Flavones;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'phloretin glucuronide';Class;'Flavonoid O-glycosides';"''apple (whole)''";;
'urolithin a';Class;'Coumarins and derivatives';"''red wine''	''berry (whole, raw)''	''nut (whole or part)''";;
'urolithin b';Class;'Coumarins and derivatives';"''berry (whole, raw)''	''nut (whole or part)''	''red wine''";;
'urolithin b glucuronide';Class;'Phenolic glycosides';"''red wine''	''berry (whole, raw)''	''nut (whole or part)''";;
'urolithin b sulfate';Class;'Coumarins and derivatives';"''berry (whole, raw)''	''red wine''	''nut (whole or part)''";;
'urolithin c';Class;'Coumarins and derivatives';"''red wine''	''nut (whole or part)''	''berry (whole, raw)''";;
'urolithin c 3-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'urolithin c 3-sulfate';Class;'Coumarins and derivatives';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'tyrosol glucuronide';Class;'Phenolic glycosides';"''olive oil''";;
'tyrosol sulfate';Class;Phenylsulfates;"''olive oil''";;
'hydroxytyrosol 3'-glucuronide';Class;'Phenolic glycosides';"''olive oil''";;
'hydroxytyrosol 4'-glucuronide';Class;'Phenolic glycosides';"''olive oil''";;
'hydroxytyrosol 3'-sulfate';Class;Phenylsulfates;"''olive oil''";;
'hydroxytyrosol 4'-sulfate';Class;Phenylsulfates;"''olive oil''";;
'homovanillyl alcohol';Class;Methoxyphenols;"''olive oil''";;
'homovanillyl alcohol glucuronide';Class;'Phenolic glycosides';"''olive oil''";;
'homovanillyl alcohol sulfate';Class;Phenylsulfates;"''olive oil''";;
'trans-resveratrol 3-glucuronide';Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
'trans-resveratrol 4'-glucuronide';Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
'cis-resveratrol 3-glucuronide';Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
'cis-resveratrol 4'-glucuronide';Class;'Stilbene glycosides';"''red wine''	''grape (whole, raw)''";;
'trans-resveratrol 4'-sulfate';Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;
'cis-resveratrol 3-sulfate';Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;
'cis-resveratrol 4'-sulfate';Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;
'dihydroresveratrol 4'-glucuronide';Class;'Stilbene glycosides';"''red wine''	''grape (whole, raw)''";;
'dihydroresveratrol 4'-sulfate';Class;Stilbenes;"''grape (whole, raw)''	''red wine''";;
'piceid 3-glucuronide';Class;'Stilbene glycosides';"''red wine''	''grape (whole, raw)''";;
'piceid 4'-glucuronide';Class;'Stilbene glycosides';"''red wine''	''grape (whole, raw)''";;
'piceid 3-sulfate';Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
'piceid 4'-sulfate';Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
'curcumin glucuronide';Class;Curcuminoids;"'curcuma'";;
'curcumin sulfate';Class;Curcuminoids;"'curcuma'";;
enterolactone;Class;'Dibenzylbutyrolactone lignans';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'enterolactone 3'-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''plant fruit food product''	''red wine''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
'enterolactone 3'-sulfate';Class;'Dibenzylbutyrolactone lignans';"''coffee based beverage product''	''Whole grain cereal products''	''olive oil''	''cacao food product''	''tea based beverage product''	''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''vegetable food product''";;
'enterodiol glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''";;
'enterodiol sulfate';Class;'Dibenzylbutanediol lignans';"''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''red wine''	''legume food product''";;
isoxanthohumol;Class;'8-prenylated flavanones';"'beer'";;
'n-(2-hydroxyphenyl)acetamide';Class;Acetanilides;"''Whole grain cereal products''";;
'n-(2-hydroxyphenyl)acetamide glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''";;
'n-(2-hydroxyphenyl)acetamide sulfate';Class;Phenylsulfates;"''Whole grain cereal products''";;
'1-hydroxypyrene glucuronide';Class;Pyrenes;"''meat food product''";;
'atractyligenin 2-glucuronide';Class;'Kaurane diterpenoids';"''coffee based beverage product''";;
'acesulfame k';Class;'Organic sulfuric acids and derivatives';"''soft drink (dietetic)''";;
'ethyl glucuronide';Class;Glucuronides;"''plant based alcoholic beverage''";;
'ethyl sulfate';Class;'Sulfuric acid monoesters';"''plant based alcoholic beverage''";;
'cyanidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;
'peonidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;
'petunidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;"''berry (whole, raw)''	''red wine''";;
sulforaphane;Class;Sulfoxides;"''cruciferous food product''";;
sulforaphane-cysteine;Class;'Cysteine and derivatives';"''cruciferous food product''";;
sulforaphane-n-acetyl-cysteine;Class;'N-acyl-alpha amino acids and derivatives';"''cruciferous food product''";;
sulforaphane-cysteine-glycine;Class;Oligopeptides;"''cruciferous food product''";;
sulforaphane-glutathione;Class;Oligopeptides;"''cruciferous food product''";;
iberin;Class;Sulfoxides;"''cruciferous food product''";;
iberin-cysteine;Class;'Cysteine and derivatives';"''cruciferous food product''";;
iberin-n-acetyl-cysteine;Class;'N-acyl-alpha amino acids and derivatives';"''cruciferous food product''";;
iberin-cysteine-glycine;Class;Oligopeptides;"''cruciferous food product''";;
iberin-glutathione;Class;Oligopeptides;"''cruciferous food product''";;
'5-(hydroxymethyl-2-furoyl)glycine';Class;'N-acyl-alpha amino acids and derivatives';"''Whole grain cereal products''	''cacao food product''	''coffee based beverage product''";;
'3-methyluric acid';Class;Xanthines;"''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;
'7-methyluric acid';Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'6-amino-5-(n-methylformylamino)-1-methyluracil';Class;N-acetylarylamines;"''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;
'cyclo(l-leucyl-l-prolyl)';Class;'Alpha amino acids and derivatives';"''cacao food product''	''coffee based beverage product''";;
'2-amino-1,6-dimethylimidazo[4,5-b]pyridine glucuronide';Class;Glucuronides;"''meat food product''";;
'2-aminophenol glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''";;
'2-aminophenol sulfate';Class;Phenylsulfates;"''Whole grain cereal products''";;
vanilloylglycine;Class;'Hippuric acids';"''legume food product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''olive oil''	''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;
n-acetyl-s-allylcysteine;Class;'N-acyl-alpha amino acids and derivatives';"''Onion family vegetables''	''garlic (whole, raw)''";;
n-acetyl-s-methylcysteine;Class;'N-acyl-alpha amino acids and derivatives';"''Onion family vegetables''	''garlic (whole, raw)''";;
's-allylmercapturic acid';Class;'N-acyl-alpha amino acids and derivatives';"''Onion family vegetables''	''garlic (whole, raw)''";;
'allyl methyl sulfide';Class;'Allyl sulfur compounds';"''garlic (whole, raw)''	''Onion family vegetables''";;
'allyl methyl sulfoxide';Class;Sulfoxides;"''Onion family vegetables''	''garlic (whole, raw)''";;
'allyl methyl sulfone';Class;Sulfones;"''Onion family vegetables''	''garlic (whole, raw)''";;
'p-cresol glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''dairy food product''	''soybean (whole)''	''nut (whole or part)''	''legume food product''	''egg food product''	''meat food product''";;
'indoxyl glucuronide';Class;Glucuronides;"''soybean (whole)''	''nut (whole or part)''	''Whole grain cereal products''	''dairy food product''	''meat food product''	''legume food product''	''egg food product''";;
α-solanine;Class;'Steroidal saponins';"''potato (whole, raw)''";;
5-n-heptadecylresorcinol;Class;Resorcinols;"''Whole grain cereal products''";;
5-n-nonadecylresorcinol;Class;Resorcinols;"''Whole grain cereal products''";;
5-n-heneicosylresorcinol;Class;Resorcinols;"''Whole grain cereal products''";;
5-n-tricosylresorcinol;Class;Resorcinols;"''Whole grain cereal products''";;
5-n-pentacosylresorcinol;Class;Resorcinols;"''Whole grain cereal products''";;
2-benzoxazolinone;Class;Benzoxazolones;"''Whole grain cereal products''";;
6-methoxy-benzoxazolin-2-one;Class;Benzoxazolones;"''Whole grain cereal products''";;
'2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one';Class;'O-glycosyl compounds';"''Whole grain cereal products''";;
'2-hydroxy-1,4-benzoxazin-3-one glucuronide';Class;Benzoxazinones;"''Whole grain cereal products''";;
'2-hydroxy-1,4-benzoxazin-3-one sulfate';Class;Benzoxazinones;"''Whole grain cereal products''";;
'2-hydroxy-7-methoxy-1,4-benzoxazin-3-one';Class;Benzoxazinones;"''Whole grain cereal products''";;
'2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one';Class;'O-glycosyl compounds';"''Whole grain cereal products''";;
'2,4-dihydroxy-1,4-benzoxazin-3-one glucuronide';Class;Benzoxazinones;"''Whole grain cereal products''";;
'2,4-dihydroxy-1,4-benzoxazin-3-one sulfate';Class;Benzoxazinones;"''Whole grain cereal products''";;
'pentadecanoic acid';Class;'Long-chain fatty acids';"''dairy food product''";;
'ascorbic acid';Class;Furanones;"''plant fruit food product''	''vegetable food product''";;
lutein;Class;Xanthophylls;"''vegetable food product''	''plant fruit food product''";;
oleuropein;Class;'Terpene glycosides';"''olive oil''";;
'oleanolic acid';Class;Triterpenoids;"''olive oil''";;
d-pinitol;Class;Cyclohexanols;"''legume food product''";;
glucose;Class;Hexoses;"'sugar'	''plant fruit food product''	''soft drink''";;
'Phenylpropanoids and polyketides';Class;Biomarkers;;;
Benzenoids;Class;Biomarkers;;;
'Organic oxygen compounds';Class;Biomarkers;;;
'Lipids and lipid-like molecules';Class;Biomarkers;;;
'Organic acids and derivatives';Class;Biomarkers;;;
'Organoheterocyclic compounds';Class;Biomarkers;;;
'Lignans, neolignans and related compounds';Class;Biomarkers;;;
'Organosulfur compounds';Class;Biomarkers;;;
'Organic nitrogen compounds';Class;Biomarkers;;;
'Organometallic compounds';Class;Biomarkers;;;
'Alkaloids and derivatives';Class;Biomarkers;;;
Flavonoids;Class;'Phenylpropanoids and polyketides';;;
Isoflavonoids;Class;'Phenylpropanoids and polyketides';;;
'Benzene and substituted derivatives';Class;Benzenoids;;;
'Organooxygen compounds';Class;'Organic oxygen compounds';;;
'Prenol lipids';Class;'Lipids and lipid-like molecules';;;
'Organic sulfuric acids and derivatives';Class;'Organic acids and derivatives';;;
'Coumarins and derivatives';Class;'Phenylpropanoids and polyketides';;;
Benzoxazoles;Class;'Organoheterocyclic compounds';;;
Phenols;Class;Benzenoids;;;
'Hydroxy acids and derivatives';Class;'Organic acids and derivatives';;;
Saccharolipids;Class;'Lipids and lipid-like molecules';;;
Diarylheptanoids;Class;'Phenylpropanoids and polyketides';;;
'Phenylpropanoic acids';Class;'Phenylpropanoids and polyketides';;;
'Carboxylic acids and derivatives';Class;'Organic acids and derivatives';;;
'Cinnamic acids and derivatives';Class;'Phenylpropanoids and polyketides';;;
Pyrenes;Class;Benzenoids;;;
Imidazopyrimidines;Class;'Organoheterocyclic compounds';;;
Stilbenes;Class;'Phenylpropanoids and polyketides';;;
Benzoxazines;Class;'Organoheterocyclic compounds';;;
Peptidomimetics;Class;'Organic acids and derivatives';;;
Benzothiazoles;Class;'Organoheterocyclic compounds';;;
Tannins;Class;'Phenylpropanoids and polyketides';;;
'Fatty Acyls';Class;'Lipids and lipid-like molecules';;;
'Indoles and derivatives';Class;'Organoheterocyclic compounds';;;
'Dibenzylbutane lignans';Class;'Lignans, neolignans and related compounds';;;
'Sulfamic acid derivatives';Class;'Organic acids and derivatives';;;
'Furanoid lignans';Class;'Lignans, neolignans and related compounds';;;
'Steroids and steroid derivatives';Class;'Lipids and lipid-like molecules';;;
Sulfoxides;Class;'Organosulfur compounds';;;
'Allyl sulfur compounds';Class;'Organosulfur compounds';;;
'Organonitrogen compounds';Class;'Organic nitrogen compounds';;;
'Pyridines and derivatives';Class;'Organoheterocyclic compounds';;;
'Phenol ethers';Class;Benzenoids;;;
Diazines;Class;'Organoheterocyclic compounds';;;
'Organometalloid compounds';Class;'Organometallic compounds';;;
Dihydrofurans;Class;'Organoheterocyclic compounds';;;
'Linear 1,3-diarylpropanoids';Class;'Phenylpropanoids and polyketides';;;
Sulfonyls;Class;'Organosulfur compounds';;;
'Organic sulfonic acids and derivatives';Class;'Organic acids and derivatives';;;
'Flavonoid glycosides';Class;Flavonoids;;;
Isoflavans;Class;Isoflavonoids;;;
Anilides;Class;'Benzene and substituted derivatives';;;
'Carbohydrates and carbohydrate conjugates';Class;'Organooxygen compounds';;;
'O-methylated flavonoids';Class;Flavonoids;;;
'Benzoic acids and derivatives';Class;'Benzene and substituted derivatives';;;
Tetraterpenoids;Class;'Prenol lipids';;;
Arylsulfates;Class;'Organic sulfuric acids and derivatives';;;
'Coumarin glycosides';Class;'Coumarins and derivatives';;;
Benzoxazolones;Class;Benzoxazoles;;;
'Isoflavonoid O-glycosides';Class;Isoflavonoids;;;
Flavans;Class;Flavonoids;;;
Benzenediols;Class;Phenols;;;
'Beta hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;
'Linear diarylheptanoids';Class;Diarylheptanoids;;;
'Amino acids, peptides, and analogues';Class;'Carboxylic acids and derivatives';;;
'Benzenetriols and derivatives';Class;Phenols;;;
'Hydroxycinnamic acids and derivatives';Class;'Cinnamic acids and derivatives';;;
'Purines and purine derivatives';Class;Imidazopyrimidines;;;
'Phenylacetic acids';Class;'Benzene and substituted derivatives';;;
'Aniline and substituted anilines';Class;'Benzene and substituted derivatives';;;
'Stilbene glycosides';Class;Stilbenes;;;
Benzoxazinones;Class;Benzoxazines;;;
'Hybrid peptides';Class;Peptidomimetics;;;
Isoflav-2-enes;Class;Isoflavonoids;;;
'Alcohols and polyols';Class;'Organooxygen compounds';;;
'Hydrolyzable tannins';Class;Tannins;;;
'Lineolic acids and derivatives';Class;'Fatty Acyls';;;
'Indolyl carboxylic acids and derivatives';Class;'Indoles and derivatives';;;
'Dibenzylbutanediol lignans';Class;'Dibenzylbutane lignans';;;
'1-hydroxy-4-unsubstituted benzenoids';Class;Phenols;;;
Methoxyphenols;Class;Phenols;;;
Furanocoumarins;Class;'Coumarins and derivatives';;;
Cyclamates;Class;'Sulfamic acid derivatives';;;
'O-methylated isoflavonoids';Class;Isoflavonoids;;;
'Fatty acids and conjugates';Class;'Fatty Acyls';;;
'Tetrahydrofuran lignans';Class;'Furanoid lignans';;;
'Carbonyl compounds';Class;'Organooxygen compounds';;;
Flavones;Class;Flavonoids;;;
Cresols;Class;Phenols;;;
'Medium-chain hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;
'Tyrosols and derivatives';Class;Phenols;;;
'Steroidal alkaloids';Class;'Steroids and steroid derivatives';;;
'Sulfuric acid esters';Class;'Organic sulfuric acids and derivatives';;;
'Tricarboxylic acids and derivatives';Class;'Carboxylic acids and derivatives';;;
Triterpenoids;Class;'Prenol lipids';;;
'1-hydroxy-2-unsubstituted benzenoids';Class;Phenols;;;
'Cinnamic acids';Class;'Cinnamic acids and derivatives';;;
'Quaternary ammonium salts';Class;'Organonitrogen compounds';;;
Methylpyridines;Class;'Pyridines and derivatives';;;
'Fatty acid esters';Class;'Fatty Acyls';;;
'Pyrimidines and pyrimidine derivatives';Class;Diazines;;;
'Terpene glycosides';Class;'Prenol lipids';;;
Diterpenoids;Class;'Prenol lipids';;;
'Organoarsenic compounds';Class;'Organometalloid compounds';;;
'Steroidal glycosides';Class;'Steroids and steroid derivatives';;;
Furanones;Class;Dihydrofurans;;;
Aminoxides;Class;'Organonitrogen compounds';;;
'Chalcones and dihydrochalcones';Class;'Linear 1,3-diarylpropanoids';;;
Sulfones;Class;Sulfonyls;;;
'Biflavonoids and polyflavonoids';Class;Flavonoids;;;
'Organosulfonic acids and derivatives';Class;'Organic sulfonic acids and derivatives';;;
N-arylamides;Class;'Organonitrogen compounds';;;
'Flavonoid O-glycosides';Class;'Flavonoid glycosides';;;
Isoflavanols;Class;Isoflavans;;;
Acetanilides;Class;Anilides;;;
'Glycosyl compounds';Class;'Carbohydrates and carbohydrate conjugates';;;
'4'-O-methylated flavonoids';Class;'O-methylated flavonoids';;;
'Hydroxybenzoic acid derivatives';Class;'Benzoic acids and derivatives';;;
Carotenoids;Class;Tetraterpenoids;;;
Phenylsulfates;Class;Arylsulfates;;;
Flavan-3-ols;Class;Flavans;;;
Resorcinols;Class;Benzenediols;;;
Curcuminoids;Class;'Linear diarylheptanoids';;;
'Amino acids and derivatives';Class;'Amino acids, peptides, and analogues';;;
'Phloroglucinols and derivatives';Class;'Benzenetriols and derivatives';;;
'Coumaric acids and derivatives';Class;'Hydroxycinnamic acids and derivatives';;;
Xanthines;Class;'Purines and purine derivatives';;;
'2(hydroxyphenyl)acetic acids';Class;'Phenylacetic acids';;;
Catechols;Class;Benzenediols;;;
Isoflavones;Class;Isoflav-2-enes;;;
'Cyclic alcohols and derivatives';Class;'Alcohols and polyols';;;
'3'-O-methylated flavonoids';Class;'O-methylated flavonoids';;;
'Pyrogallols and derivatives';Class;'Benzenetriols and derivatives';;;
'Secondary alcohols';Class;'Alcohols and polyols';;;
'Indole-3-acetic acid derivatives';Class;'Indolyl carboxylic acids and derivatives';;;
'Sugar acids and derivatives';Class;'Carbohydrates and carbohydrate conjugates';;;
Flavanones;Class;Flavans;;;
'Linear furanocoumarins';Class;Furanocoumarins;;;
'4'-O-methylated isoflavonoids';Class;'O-methylated isoflavonoids';;;
'Sulfated fatty acids';Class;'Fatty acids and conjugates';;;
'9,9'-epoxylignans';Class;'Tetrahydrofuran lignans';;;
Aldehydes;Class;'Carbonyl compounds';;;
'Para cresols';Class;Cresols;;;
Flavonols;Class;Flavones;;;
'Long-chain fatty acids';Class;'Fatty acids and conjugates';;;
Tyrosols;Class;'Tyrosols and derivatives';;;
'Solanidines and derivatives';Class;'Steroidal alkaloids';;;
'Sulfuric acid monoesters';Class;'Sulfuric acid esters';;;
'Hydroxycinnamic acids';Class;'Hydroxycinnamic acids and derivatives';;;
'Methoxybenzoic acids and derivatives';Class;'Benzoic acids and derivatives';;;
Benzamides;Class;'Benzoic acids and derivatives';;;
'Very long-chain fatty acids';Class;'Fatty acids and conjugates';;;
Carnitines;Class;'Quaternary ammonium salts';;;
'N-methylpyridinium compounds';Class;Methylpyridines;;;
'Acyl carnitines';Class;'Fatty acid esters';;;
Hydroxypyrimidines;Class;'Pyrimidines and pyrimidine derivatives';;;
'Acyclic diterpenoids';Class;Diterpenoids;;;
Peptides;Class;'Amino acids, peptides, and analogues';;;
Monosaccharides;Class;'Carbohydrates and carbohydrate conjugates';;;
'Tetraorganoarsonium salts';Class;'Organoarsenic compounds';;;
'Steroidal saponins';Class;'Steroidal glycosides';;;
'Trialkyl amine oxides';Class;Aminoxides;;;
2'-Hydroxy-dihydrochalcones;Class;'Chalcones and dihydrochalcones';;;
'Heterocyclic fatty acids';Class;'Fatty acids and conjugates';;;
'Organosulfonic acids';Class;'Organosulfonic acids and derivatives';;;
N-acetylarylamines;Class;N-arylamides;;;
'Spirosolanes and derivatives';Class;'Steroidal alkaloids';;;
'8-prenylated flavans';Class;Flavans;;;
Anthocyanins;Class;'Flavonoid O-glycosides';;;
'Phenolic glycosides';Class;'Glycosyl compounds';;;
'Salicylic acid and derivatives';Class;'Hydroxybenzoic acid derivatives';;;
Carotenes;Class;Carotenoids;;;
'C-glycosyl compounds';Class;'Glycosyl compounds';;;
Catechins;Class;Flavan-3-ols;;;
'Flavonoid O-glucuronides';Class;'Flavonoid O-glycosides';;;
'Alpha amino acids and derivatives';Class;'Amino acids and derivatives';;;
'Acylphloroglucinols and derivatives';Class;'Phloroglucinols and derivatives';;;
'Coumaric acids';Class;'Coumaric acids and derivatives';;;
'Cyclitols and derivatives';Class;'Cyclic alcohols and derivatives';;;
'O-glycosyl compounds';Class;'Glycosyl compounds';;;
Xanthophylls;Class;Carotenoids;;;
'Gallic acid and derivatives';Class;'Hydroxybenzoic acid derivatives';;;
Cyclohexanols;Class;'Secondary alcohols';;;
Psoralens;Class;'Linear furanocoumarins';;;
4'-O-methylisoflavones;Class;'4'-O-methylated isoflavonoids';;;
'Dibenzylbutyrolactone lignans';Class;'9,9'-epoxylignans';;;
Aryl-aldehydes;Class;Aldehydes;;;
'Glucuronic acid derivatives';Class;'Sugar acids and derivatives';;;
'P-methoxybenzoic acids and derivatives';Class;'Methoxybenzoic acids and derivatives';;;
'Hippuric acids and derivatives';Class;Benzamides;;;
Oligopeptides;Class;Peptides;;;
Hexoses;Class;Monosaccharides;;;
'M-methoxybenzoic acids and derivatives';Class;'Methoxybenzoic acids and derivatives';;;
'Beta amino acids and derivatives';Class;'Amino acids and derivatives';;;
'Furanoid fatty acids';Class;'Heterocyclic fatty acids';;;
'5-unsubstituted pyrrogallols';Class;'Pyrogallols and derivatives';;;
'8-prenylated flavanones';Class;'8-prenylated flavans';;;
Anthocyanidin-3-O-glycosides;Class;Anthocyanins;;;
'Salicylic acids';Class;'Salicylic acid and derivatives';;;
Flavonoid-7-O-glucuronides;Class;'Flavonoid O-glucuronides';;;
'Histidine and derivatives';Class;'Alpha amino acids and derivatives';;;
'Alanine and derivatives';Class;'Alpha amino acids and derivatives';;;
'N-acyl-alpha amino acids and derivatives';Class;'Alpha amino acids and derivatives';;;
'Proline and derivatives';Class;'Alpha amino acids and derivatives';;;
'Phenylalanine and derivatives';Class;'Alpha amino acids and derivatives';;;
'Quinic acids and derivatives';Class;'Cyclitols and derivatives';;;
Flavonoid-3-O-glucuronides;Class;'Flavonoid O-glucuronides';;;
5-hydroxypsoralens;Class;Psoralens;;;
Benzaldehydes;Class;Aryl-aldehydes;;;
'Cysteine and derivatives';Class;'Alpha amino acids and derivatives';;;
'Inositol phosphates';Class;'Cyclitols and derivatives';;;
Glucuronides;Class;'Glucuronic acid derivatives';;;
'Gallic acids';Class;'Gallic acid and derivatives';;;
'Hippuric acids';Class;'Hippuric acids and derivatives';;;
'Catechin gallates';Class;Catechins;;;
'Tyrosine and derivatives';Class;'Alpha amino acids and derivatives';;;
'Galloyl esters';Class;'Gallic acid and derivatives';;;
Epigallocatechins;Class;Catechins;;;
'Alpha amino acids';Class;'Alpha amino acids and derivatives';;;
'Kaurane diterpenoids';Class;Diterpenoids;;;
'Vegetarian dishes';Class;'food (ready-to-serve)';;;
'Non vegetarian dishes';Class;'food (ready-to-serve)';;;
'Cold sauces';Class;sauce;;;
'Other prepared foods';Class;'multi-component food';;;
'enterolactone 3''-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''olive oil''	''red wine''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''plant fruit food product''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
'enterolactone 3''-sulfate';Class;'Dibenzylbutyrolactone lignans';"''nut (whole or part)''	''vegetable food product''	''legume food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''";;
'ethylgallate 4-sulfate';Class;'Gallic acid and derivatives';"''nut (whole or part)''	''legume food product''	''vegetable food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''olive oil''	''plant fruit food product''";;
'ethylgallate 4-glucuronide';Class;'Hydrolyzable tannins';"''legume food product''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''	''coffee based beverage product''	''red wine''	''olive oil''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''";;
'Coca Cola Zero';Class;'soft drink (dietetic)';;;
'Coca Cola Light';Class;'soft drink (dietetic)';;;
'Pepsi Max';Class;'soft drink (dietetic)';;;
'Coca Cola';Class;'soft drink';;;
Pepsi;Class;'soft drink';;;
Fanta;Class;'soft drink';;;
'whole bread';Class;'Whole grain cereal products';;;
'whole toast';Class;'Whole grain cereal products';;;
pint;Class;beer;;;
crisp;Class;'potato (whole, raw)';;;
