"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"3,5-dihydroxybenzoic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"LEONNYUSLXUBTI-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-1-4(11(18)19)2-6(3-5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1","FOBI:030333"
"3,4-dihydroxybenzoic acid 3-sulfate","Phenylsulfates",NA,NA,NA,"71316222","GSFKEOSQCKWCLH-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-2-1-4(7(9)10)3-6(5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:030336"
"3,4-dihydroxybenzoic acid 4-sulfate","Phenylsulfates",NA,NA,NA,"195945","NGQYUDIZIPNWJV-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-3-4(7(9)10)1-2-6(5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:030337"
"3,5-dihydroxybenzoic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"NDZHPENMJGDGPX-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-1-4(7(9)10)2-6(3-5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)","FOBI:030338"
"vanillic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"BSTDQIXKAVCPLC-JLERCCTOSA-N","InChI=1S/C14H16O10/c1-22-7-4-5(2-3-6(7)15)13(21)24-14-10(18)8(16)9(17)11(23-14)12(19)20/h2-4,8-11,14-18H,1H3,(H,19,20)/t8-,9-,10+,11-,14?/m0/s1","FOBI:030344"
"vanillic acid sulfate","M-methoxybenzoic acids and derivatives",NA,NA,NA,"382946","TXRKUXPAEPOCIX-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c1-14-7-4-5(8(9)10)2-3-6(7)15-16(11,12)13/h2-4H,1H3,(H,9,10)(H,11,12,13)","FOBI:030345"
"isovanillic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"HATMKBLUSXVYDS-JLERCCTOSA-N","InChI=1S/C14H16O10/c1-22-7-3-2-5(4-6(7)15)13(21)24-14-10(18)8(16)9(17)11(23-14)12(19)20/h2-4,8-11,14-18H,1H3,(H,19,20)/t8-,9-,10+,11-,14?/m0/s1","FOBI:030347"
"isovanillic acid sulfate","P-methoxybenzoic acids and derivatives",NA,NA,NA,NA,"VSFFJSSUGMYRMP-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c1-14-6-3-2-5(8(9)10)4-7(6)15-16(11,12)13/h2-4H,1H3,(H,9,10)(H,11,12,13)","FOBI:030348"
"syringic acid glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"WOGNQDHJFYPQMD-YGMDGNCASA-N","InChI=1S/C15H18O11/c1-23-6-3-5(13(19)20)4-7(24-2)11(6)25-15-10(18)8(16)9(17)12(26-15)14(21)22/h3-4,8-10,12,15-18H,1-2H3,(H,19,20)(H,21,22)/t8-,9-,10+,12-,15+/m0/s1","FOBI:030350"
"syringic acid sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"RUXRRHGJTRVOSL-UHFFFAOYSA-N","InChI=1S/C9H10O8S/c1-15-6-3-5(9(10)11)4-7(16-2)8(6)17-18(12,13)14/h3-4H,1-2H3,(H,10,11)(H,12,13,14)","FOBI:030351"
"gallic acid 3-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"WGYCQDRFPFTOJY-UHFFFAOYSA-N","InChI=1S/C13H14O11/c14-4-1-3(11(19)20)2-5(6(4)15)23-13-9(18)7(16)8(17)10(24-13)12(21)22/h1-2,7-10,13-18H,(H,19,20)(H,21,22)","FOBI:030353"
"gallic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"DSZHBCQGMXJFGB-UHFFFAOYSA-N","InChI=1S/C13H14O11/c14-4-1-3(11(19)20)2-5(15)9(4)23-13-8(18)6(16)7(17)10(24-13)12(21)22/h1-2,6-8,10,13-18H,(H,19,20)(H,21,22)","FOBI:030354"
"gallic acid 3-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"GDGXJKFVYIFICY-UHFFFAOYSA-N","InChI=1S/C7H6O8S/c8-4-1-3(7(10)11)2-5(6(4)9)15-16(12,13)14/h1-2,8-9H,(H,10,11)(H,12,13,14)","FOBI:030355"
"gallic acid 4-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"DMNOQQUULVKPTE-UHFFFAOYSA-N","InChI=1S/C7H6O8S/c8-4-1-3(7(10)11)2-5(9)6(4)15-16(12,13)14/h1-2,8-9H,(H,10,11)(H,12,13,14)","FOBI:030356"
"4-methylgallic acid","Gallic acid and derivatives","70398","HMDB13198",NA,"78016","UBXDWYFLYYJQFR-UHFFFAOYSA-N","InChI=1S/C8H8O5/c1-13-7-5(9)2-4(8(11)12)3-6(7)10/h2-3,9-10H,1H3,(H,11,12)","FOBI:030357"
"ethylgallate","Galloyl esters",NA,NA,NA,"13250","VFPFQHQNJCMNBZ-UHFFFAOYSA-N","InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3","FOBI:030365"
"ethylgallate 3-glucuronide","Hydrolyzable tannins",NA,NA,NA,NA,"AYYKZKTZUDGRGL-QKZHPOIUSA-N","InChI=1S/C15H18O11/c1-2-24-14(23)5-3-6(16)8(17)7(4-5)25-15-11(20)9(18)10(19)12(26-15)13(21)22/h3-4,9-12,15-20H,2H2,1H3,(H,21,22)/t9-,10-,11+,12-,15+/m0/s1","FOBI:030366"
"ethylgallate 3-sulfate","Gallic acid and derivatives",NA,NA,NA,NA,"JRHRIYQMDUZNBA-UHFFFAOYSA-N","InChI=1S/C9H10O8S/c1-2-16-9(12)5-3-6(10)8(11)7(4-5)17-18(13,14)15/h3-4,10-11H,2H2,1H3,(H,13,14,15)","FOBI:030367"
"2-hydroxyphenylacetic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"MLBYCKGONSBJSK-IYJSFKGYSA-N","InChI=1S/C17H22O6/c1-9-10(2)15(16(20)21)23-17(11(9)3)22-13-7-5-4-6-12(13)8-14(18)19/h4-7,9-11,15,17H,8H2,1-3H3,(H,18,19)(H,20,21)/t9-,10?,11?,15-,17+/m0/s1","FOBI:030371"
"3-hydroxyphenylacetic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"UJBQYMIQTYWRFA-UHFFFAOYSA-N","InChI=1S/C14H16O9/c15-8(16)5-6-2-1-3-7(4-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)","FOBI:030372"
"4-hydroxyphenylacetic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"DPTGYOOHBJLCOL-UHFFFAOYSA-N","InChI=1S/C14H16O9/c15-8(16)5-6-1-3-7(4-2-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)","FOBI:030373"
"2-hydroxyphenylacetic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"SXQLBARVXZQRLB-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c9-8(10)5-6-3-1-2-4-7(6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)","FOBI:030374"
"3-hydroxyphenylacetic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"VBCLPDSIELLWDI-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c9-8(10)5-6-2-1-3-7(4-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)","FOBI:030375"
"4-hydroxyphenylacetic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"IIODELUADFSHIZ-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c9-8(10)5-6-1-3-7(4-2-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)","FOBI:030376"
"3,4-dihydroxyphenylacetic acid","Catechols","15765504 | 532","HMDB01336","C01161","547","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)","FOBI:030377"
"homovanillic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"CXBMXYMXMRBMJY-DKBOKBLXSA-N","InChI=1S/C15H18O10/c1-23-8-4-6(5-9(16)17)2-3-7(8)24-15-12(20)10(18)11(19)13(25-15)14(21)22/h2-4,10-13,15,18-20H,5H2,1H3,(H,16,17)(H,21,22)/t10-,11-,12+,13-,15+/m0/s1","FOBI:030381"
"homovanillic acid 4-sulfate","Phenylsulfates",NA,"HMDB11719",NA,"29981063","IACOAKYXFIWAQN-UHFFFAOYSA-N","InChI=1S/C9H10O7S/c1-15-8-4-6(5-9(10)11)2-3-7(8)16-17(12,13)14/h2-4H,5H2,1H3,(H,10,11)(H,12,13,14)","FOBI:030382"
"o-coumaric acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"KRKMNGLGYXJMBZ-WAYWQWQTSA-N","InChI=1S/C15H16O9/c16-9(17)6-5-7-3-1-2-4-8(7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b6-5-","FOBI:030386"
"m-coumaric acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"XPCHMFOWDFTFNV-SNAWJCMRSA-N","InChI=1S/C15H16O9/c16-9(17)5-4-7-2-1-3-8(6-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b5-4+","FOBI:030387"
"p-coumaric acid glucuronide","Phenolic glycosides",NA,NA,NA,"71314996","SOKJXEKPKWKYKR-KPGYTNHDSA-N","InChI=1S/C15H16O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b6-3+/t10-,11-,12+,13-,15+/m0/s1","FOBI:030388"
"o-coumaric acid sulfate","Coumaric acids",NA,NA,NA,"59950526","BTRJLVGUHCECAH-UHFFFAOYSA-N","InChI=1S/C9H8O6S/c10-9(11)6-5-7-3-1-2-4-8(7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)","FOBI:030389"
"m-coumaric acid sulfate","Coumaric acids and derivatives","4947175",NA,NA,"6443141","YPXHXDXMTWPQTO-SNAWJCMRSA-N","InChI=1S/C9H8O6S/c10-9(11)5-4-7-2-1-3-8(6-7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)/b5-4+","FOBI:030390"
"p-coumaric acid sulfate","Cinnamic acids","4797737",NA,NA,"6070438","OYDCCWNLILCHDJ-ZZXKWVIFSA-N","InChI=1S/C9H8O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)/b6-3+","FOBI:030391"
"caffeic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,"25171992","BSOMSDFTZKNUHY-ZYZFHZPYSA-N","InChI=1S/C15H16O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1","FOBI:030393"
"caffeic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,"25171780","LTGOIJNQWZWJRF-ZYZFHZPYSA-N","InChI=1S/C15H16O10/c16-7-5-6(2-4-9(17)18)1-3-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1","FOBI:030394"
"caffeic acid 3-sulfate","Hydroxycinnamic acids",NA,NA,NA,"102261219","VWQNTRNACRFUCQ-DUXPYHPUSA-N","InChI=1S/C9H8O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+","FOBI:030395"
"caffeic acid 4-sulfate","Hydroxycinnamic acids",NA,NA,NA,"21668705","SNVAIAITQIIEMQ-DUXPYHPUSA-N","InChI=1S/C9H8O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+","FOBI:030396"
"4-caffeoylquinic acid","Quinic acids and derivatives",NA,NA,NA,"9798666","GYFFKZTYYAFCTR-AVXJPILUSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(21)25-14-11(19)6-16(24,15(22)23)7-12(14)20/h1-5,11-12,14,17-20,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14?,16?/m1/s1","FOBI:030398"
"3,5-dicaffeoylquinic acid","Quinic acids and derivatives","4976336",NA,NA,"6474310","KRZBCHWVBQOTNZ-RDJMKVHDSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(30)36-19-11-25(35,24(33)34)12-20(23(19)32)37-22(31)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-29,32,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23?,25?/m1/s1","FOBI:030401"
"4,5-dicaffeoylquinic acid","Quinic acids and derivatives","4976335",NA,NA,"6474309","UFCLZKMFXSILNL-RVXRWRFUSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1","FOBI:030402"
"3-feruloylquinic acid","Quinic acids and derivatives","8309124",NA,NA,"10133609","RAGZUCNPTLULOL-KQJPBSFVSA-N","InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15+,17-/m1/s1","FOBI:030403"
"4-feruloylquinic acid","Quinic acids and derivatives","8352553",NA,NA,"10177048","VTMFDSJJVNQXLT-XQCMRRNBSA-N","InChI=1S/C17H20O9/c1-25-13-6-9(2-4-10(13)18)3-5-14(21)26-15-11(19)7-17(24,16(22)23)8-12(15)20/h2-6,11-12,15,18-20,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,12-,15?,17?/m1/s1","FOBI:030404"
"5-feruloylquinic acid","Quinic acids and derivatives",NA,NA,NA,"15901362","RAGZUCNPTLULOL-LWOZFZEPSA-N","InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15-,17+/m0/s1","FOBI:030405"
"ferulic acid 4-glucuronide","Phenolic glycosides","4947174",NA,NA,"6443140","TWSIWBHKRJLZCF-MBAOVNHDSA-N","InChI=1S/C16H18O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2-6,11-14,16,19-21H,1H3,(H,17,18)(H,22,23)/b5-3+/t11-,12-,13+,14-,16+/m0/s1","FOBI:030408"
"isoferulic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,"49844484","SHJZLGVIOYFHCB-MBAOVNHDSA-N","InChI=1S/C16H18O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2-6,11-14,16,19-21H,1H3,(H,17,18)(H,22,23)/b5-3+/t11-,12-,13+,14-,16+/m0/s1","FOBI:030409"
"ferulic acid 4-sulfate","Coumaric acids and derivatives","4878542",NA,NA,"6305574","PZPATWACAAOHTJ-HWKANZROSA-N","InChI=1S/C10H10O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2-6H,1H3,(H,11,12)(H,13,14,15)/b5-3+","FOBI:030410"
"isoferulic acid 3-sulfate","Coumaric acids and derivatives",NA,NA,NA,"71749556","DCMKMHVTKFJMAU-HWKANZROSA-N","InChI=1S/C10H10O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2-6H,1H3,(H,11,12)(H,13,14,15)/b5-3+","FOBI:030411"
"sinapic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"SVMPWPWAQOHKHG-UOZBHZCFSA-N","InChI=1S/C17H20O11/c1-25-8-5-7(3-4-10(18)19)6-9(26-2)14(8)27-17-13(22)11(20)12(21)15(28-17)16(23)24/h3-6,11-13,15,17,20-22H,1-2H3,(H,18,19)(H,23,24)/t11-,12-,13+,15-,17+/m0/s1","FOBI:030413"
"sinapic acid sulfate","Coumaric acids and derivatives",NA,NA,NA,NA,"KJWQVTFGBFEXMV-ONEGZZNKSA-N","InChI=1S/C11H12O8S/c1-17-8-5-7(3-4-10(12)13)6-9(18-2)11(8)19-20(14,15)16/h3-6H,1-2H3,(H,12,13)(H,14,15,16)/b4-3+","FOBI:030414"
"3-(3,5-dihydroxyphenyl)propionic acid","Phenylpropanoic acids",NA,NA,NA,"161525","ITPFIKQWNDGDLG-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h3-5,10-11H,1-2H2,(H,12,13)","FOBI:030419"
"3-(3,5-dihydroxyphenyl)propionic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"IITQLVPAMWYCDQ-DKBOKBLXSA-N","InChI=1S/C15H18O10/c16-7-3-6(1-2-9(17)18)4-8(5-7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h3-5,10-13,15-16,19-21H,1-2H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1","FOBI:030420"
"3-(3,5-dihydroxyphenyl)propionic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"WEPNMLSXEATIJK-UHFFFAOYSA-N","InChI=1S/C9H10O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)","FOBI:030421"
"dihydrocaffeic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,"49844972","AELQNMHOLDHBFA-DKBOKBLXSA-N","InChI=1S/C15H18O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1,3,5,10-13,15-16,19-21H,2,4H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1","FOBI:030423"
"dihydrocaffeic acid 3-sulfate","Phenylsulfates",NA,NA,NA,"49844181","MIMULQQHBAZGER-UHFFFAOYSA-N","InChI=1S/C9H10O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)","FOBI:030424"
"dihydroferulic acid","Phenylpropanoic acids",NA,NA,NA,"14340","BOLQJTPHPSDZHR-UHFFFAOYSA-N","InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)","FOBI:030425"
"dihydroisoferulic acid","Phenylpropanoic acids","2033192",NA,NA,"2752054","ZVIJTQFTLXXGJA-UHFFFAOYSA-N","InChI=1S/C10H12O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)","FOBI:030426"
"dihydroferulic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,"190069","KYERCTIKYSSKPA-JHZZJYKESA-N","InChI=1S/C16H20O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1","FOBI:030427"
"dihydroisoferulic acid 3-glucuronide","Phenolic glycosides",NA,NA,NA,"49844034","OSJGZCUHTGTJHT-JHZZJYKESA-N","InChI=1S/C16H20O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1","FOBI:030428"
"dihydroferulic acid 4-sulfate","Phenylsulfates",NA,NA,NA,"187489","UMCDODPBPQMWQP-UHFFFAOYSA-N","InChI=1S/C10H12O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)","FOBI:030429"
"dihydroisoferulic acid 3-sulfate","Phenylsulfates",NA,NA,NA,"49844179","QZIYZVFIROFZCV-UHFFFAOYSA-N","InChI=1S/C10H12O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)","FOBI:030430"
"3-(3-hydroxyphenyl)-3-hydroxypropionic acid","Phenylpropanoic acids","93013","HMDB02643",NA,"102959","KHTAGVZHYUZYMF-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-1-2-6(4-7)8(11)5-9(12)13/h1-4,8,10-11H,5H2,(H,12,13)","FOBI:030431"
"pyrogallol 1-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"QCVMOWDDTCUWLI-UHFFFAOYSA-N","InChI=1S/C12H14O9/c13-4-2-1-3-5(6(4)14)20-12-9(17)7(15)8(16)10(21-12)11(18)19/h1-3,7-10,12-17H,(H,18,19)","FOBI:030433"
"pyrogallol 2-glucuronide","Phenolic glycosides",NA,NA,NA,"122553541","SOHXEAWMMVSJFL-COGRHJPHSA-N","InChI=1S/C12H14O9/c13-4-2-1-3-5(14)9(4)20-12-8(17)6(15)7(16)10(21-12)11(18)19/h1-3,6-8,10,12-17H,(H,18,19)/t6-,7-,8+,10-,12+/m0/s1","FOBI:030434"
"pyrogallol 1-sulfate","Phenylsulfates",NA,NA,NA,"54110629","NGVLEQPKHLWZLN-UHFFFAOYSA-N","InChI=1S/C6H6O6S/c7-4-2-1-3-5(6(4)8)12-13(9,10)11/h1-3,7-8H,(H,9,10,11)","FOBI:030435"
"pyrogallol 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"XADBYTWTQXSBAF-UHFFFAOYSA-N","InChI=1S/C6H6O6S/c7-4-2-1-3-5(8)6(4)12-13(9,10)11/h1-3,7-8H,(H,9,10,11)","FOBI:030436"
"1-methylpyrogallol","Methoxyphenols",NA,NA,NA,"13622","LPYUENQFPVNPHY-UHFFFAOYSA-N","InChI=1S/C7H8O3/c1-10-6-4-2-3-5(8)7(6)9/h2-4,8-9H,1H3","FOBI:030437"
"2-methylpyrogallol","Methoxyphenols",NA,NA,NA,"121805","QFYYAIBEHOEZKC-UHFFFAOYSA-N","InChI=1S/C7H8O3/c1-10-7-5(8)3-2-4-6(7)9/h2-4,8-9H,1H3","FOBI:030438"
"catechol glucuronide","Phenolic glycosides",NA,NA,NA,"75124209","ICPYZFZFSLTYID-GOVZDWNOSA-N","InChI=1S/C12H14O8/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12-16H,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1","FOBI:030445"
"4-methylcatechol 1-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"PLHZIQGSGAGOQO-PXSDQIBWSA-N","InChI=1S/C13H16O8/c1-5-2-3-7(6(14)4-5)20-13-10(17)8(15)9(16)11(21-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)/t8-,9?,10?,11-,13+/m1/s1","FOBI:030448"
"4-methylcatechol 2-glucuronide","Phenolic glycosides",NA,NA,NA,"189501","UQDOAPRFPPMAOO-XPORZQOISA-N","InChI=1S/C13H16O8/c1-5-2-3-6(14)7(4-5)20-13-10(17)8(15)9(16)11(21-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)/t8-,9-,10+,11-,13+/m0/s1","FOBI:030449"
"4-methylcatechol 1-sulfate","Phenylsulfates",NA,NA,NA,"54104170","NCOMUGOPQPRVSE-UHFFFAOYSA-N","InChI=1S/C7H8O5S/c1-5-2-3-7(6(8)4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)","FOBI:030450"
"4-methylcatechol 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"CMEBXVIUEVCAFK-UHFFFAOYSA-N","InChI=1S/C7H8O5S/c1-5-2-3-6(8)7(4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)","FOBI:030451"
"2,4,6-trihydroxybenzaldehyde","Acylphloroglucinols and derivatives","61408",NA,NA,"68099","BTQAJGSMXCDDAJ-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-3-5-6(10)1-4(9)2-7(5)11/h1-3,9-11H","FOBI:030456"
"vanillin glucuronide","Phenolic glycosides",NA,NA,NA,NA,"FHLOUKKMIKQAHL-BYNIDDHOSA-N","InChI=1S/C14H16O9/c1-21-8-4-6(5-15)2-3-7(8)22-14-11(18)9(16)10(17)12(23-14)13(19)20/h2-5,9-12,14,16-18H,1H3,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1","FOBI:030458"
"vanillin sulfate","Phenylsulfates",NA,NA,NA,"20822599","OUIKMDRGUNIXSP-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c1-13-8-4-6(5-9)2-3-7(8)14-15(10,11)12/h2-5H,1H3,(H,10,11,12)","FOBI:030459"
"4-methylepicatechin","Catechins",NA,NA,NA,"14332898","ZHDMPVIDHWJGTN-CZUORRHYSA-N","InChI=1S/C16H16O6/c1-21-14-3-2-8(4-12(14)19)16-13(20)7-10-11(18)5-9(17)6-15(10)22-16/h2-6,13,16-20H,7H2,1H3/t13-,16-/m1/s1","FOBI:030472"
"3-methylepicatechin","Catechins",NA,NA,NA,NA,"BBDWMQGDVLQOSW-UHFFFAOYSA-N","InChI=1S/C16H16O6/c1-16(21)7-10-12(19)5-9(17)6-14(10)22-15(16)8-2-3-11(18)13(20)4-8/h2-6,15,17-21H,7H2,1H3","FOBI:030473"
"epigallocatechin","Epigallocatechins","65231",NA,"C12136","72277","XMOCLSLCDHWDHP-IUODEOHRSA-N","InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1","FOBI:030486"
"epigallocatechin 3-glucuronide","Flavonoid-3-O-glucuronides",NA,NA,NA,"101449862","ZTOAOZDTXSRHIB-BBGDWMAASA-N","InChI=1S/C21H22O13/c22-7-3-9(23)8-5-13(33-21-17(29)15(27)16(28)19(34-21)20(30)31)18(32-12(8)4-7)6-1-10(24)14(26)11(25)2-6/h1-4,13,15-19,21-29H,5H2,(H,30,31)/t13-,15+,16+,17-,18-,19+,21-/m1/s1","FOBI:030487"
"epigallocatechin 3-sulfate","Flavan-3-ols",NA,NA,NA,NA,"PFNBTZIECYHRTC-UHFFFAOYSA-N","InChI=1S/C15H14O10S/c16-8-1-6-4-12(25-26(21,22)23)15(24-14(6)11(19)5-8)7-2-9(17)13(20)10(18)3-7/h1-3,5,12,15-20H,4H2,(H,21,22,23)","FOBI:030488"
