Entity;Type;Superclass(es);ChemSpider;HMDB;KEGG;PubChemCID;InChIKey;InChICode;FOBI;rdfs:label;
'(epi)catechin 5-glucuronide';Class;'Flavonoid O-glucuronides';;;;;;"'InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030463'";"'(epi)catechin 5-glucuronide'";
'(epi)catechin 3-glucuronide';Class;'Flavonoid O-glucuronides';;;;;;"'InChI=1S/C21H22O12/c22-8-4-11(24)9-6-14(32-21-17(28)15(26)16(27)19(33-21)20(29)30)18(31-13(9)5-8)7-1-2-10(23)12(25)3-7/h1-5,14-19,21-28H,6H2,(H,29,30)'";"'FOBI:030464'";"'(epi)catechin 3-glucuronide'";
'(epi)catechin 3'-glucuronide';Class;'Flavonoid O-glucuronides';;;;;;"'InChI=1S/C21H22O12/c22-8-4-11(24)9-6-12(25)18(31-13(9)5-8)7-1-2-10(23)14(3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030465'";"'(epi)catechin 3'-glucuronide'";
'(epi)catechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';;;;;;"'InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030466'";"'(epi)catechin 4'-glucuronide'";
'(epi)catechin 7-sulfate';Class;Catechins;;;;;;"'InChI=1S/C15H14O10S/c16-10-2-1-7(3-12(10)18)15-13(19)6-9-11(17)4-8(5-14(9)23-15)24-25-26(20,21)22/h1-5,13,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030467'";"'(epi)catechin 7-sulfate'";
'(epi)catechin 5-sulfate';Class;Catechins;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-13-9(14(5-8)24-25-26(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030468'";"'(epi)catechin 5-sulfate'";
'(epi)catechin 3-sulfate';Class;Catechins;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-11(18)9-6-14(24-25-26(20,21)22)15(23-13(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,14-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030469'";"'(epi)catechin 3-sulfate'";
'(epi)catechin 3'-sulfate';Class;Catechins;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25-26(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030470'";"'(epi)catechin 3'-sulfate'";
'(epi)catechin 4'-sulfate';Class;Catechins;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25-26(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030471'";"'(epi)catechin 4'-sulfate'";
4'-methylepicatechin;Class;Catechins;;;;"'14332898'";"'ZHDMPVIDHWJGTN-CZUORRHYSA-N'";"'InChI=1S/C16H16O6/c1-21-14-3-2-8(4-12(14)19)16-13(20)7-10-11(18)5-9(17)6-15(10)22-16/h2-6,13,16-20H,7H2,1H3/t13-,16-/m1/s1'";"'FOBI:030472'";"'4'-methylepicatechin'";
3'-methylepicatechin;Class;Catechins;;;;;"'BBDWMQGDVLQOSW-UHFFFAOYSA-N'";"'InChI=1S/C16H16O6/c1-16(21)7-10-12(19)5-9(17)6-14(10)22-15(16)8-2-3-11(18)13(20)4-8/h2-6,15,17-21H,7H2,1H3'";"'FOBI:030473'";"'3'-methylepicatechin'";
epigallocatechin;Class;Epigallocatechins;"'65231'";;"'C12136'";"'72277'";"'XMOCLSLCDHWDHP-IUODEOHRSA-N'";"'InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1'";"'FOBI:030486'";"'epigallocatechin'";
'epigallocatechin 3-glucuronide';Class;Flavonoid-3-O-glucuronides;;;;"'101449862'";"'ZTOAOZDTXSRHIB-BBGDWMAASA-N'";"'InChI=1S/C21H22O13/c22-7-3-9(23)8-5-13(33-21-17(29)15(27)16(28)19(34-21)20(30)31)18(32-12(8)4-7)6-1-10(24)14(26)11(25)2-6/h1-4,13,15-19,21-29H,5H2,(H,30,31)/t13-,15+,16+,17-,18-,19+,21-/m1/s1'";"'FOBI:030487'";"'epigallocatechin 3-glucuronide'";
'epigallocatechin 3-sulfate';Class;Flavan-3-ols;;;;;"'PFNBTZIECYHRTC-UHFFFAOYSA-N'";"'InChI=1S/C15H14O10S/c16-8-1-6-4-12(25-26(21,22)23)15(24-14(6)11(19)5-8)7-2-9(17)13(20)10(18)3-7/h1-3,5,12,15-20H,4H2,(H,21,22,23)'";"'FOBI:030488'";"'epigallocatechin 3-sulfate'";
theaflavin;Class;Flavan-3-ols;"'17216345'";"'HMDB05788'";;"'22833651'";"'MKTFRRIBCBTOKJ-CRFHJIRQSA-N'";"'InChI=1S/C29H24O12/c30-12-4-17(32)14-8-20(35)28(40-22(14)6-12)11-1-10-2-16(25(37)27(39)24(10)26(38)19(34)3-11)29-21(36)9-15-18(33)5-13(31)7-23(15)41-29/h1-7,20-21,28-33,35-37,39H,8-9H2,(H,34,38)/t20-,21-,28-,29-/m1/s1'";"'FOBI:030491'";"'theaflavin'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid';Class;'Medium-chain hydroxy acids and derivatives';;;;"'52920332'";"'JDBYFCLHVYVXCX-UHFFFAOYSA-N'";"'InChI=1S/C11H14O5/c12-8(2-4-11(15)16)5-7-1-3-9(13)10(14)6-7/h1,3,6,8,12-14H,2,4-5H2,(H,15,16)'";"'FOBI:030492'";"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide';Class;Saccharolipids;;;;;"'BKJQCPDRWDNBIN-UHFFFAOYSA-N'";"'InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-9(19)10(6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)'";"'FOBI:030493'";"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide';Class;Saccharolipids;;;;;"'LLKUARGHNZMSRT-UHFFFAOYSA-N'";"'InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-10(9(19)6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)'";"'FOBI:030494'";"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate';Class;'Sulfated fatty acids';;;;;"'HROSNTXKMPHTSL-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-9(13)10(6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)'";"'FOBI:030495'";"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate';Class;Catechols;;;;;"'GSTPJGFSDIEVSY-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-10(9(13)6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)'";"'FOBI:030496'";"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate'";
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenolic glycosides';;;;;"'DPSUQBKEHXAIDY-YHNANPAJSA-N'";"'InChI=1S/C17H20O9/c18-11-5-4-10(24-11)7-8-2-1-3-9(6-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-3,6,10,12-15,17,19-21H,4-5,7H2,(H,22,23)/t10?,12-,13-,14+,15-,17+/m0/s1'";"'FOBI:030497'";"'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide'";
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;;;;"'124202065'";"'DPRDYFJWDRNYAZ-UHFFFAOYSA-N'";"'InChI=1S/C11H12O6S/c12-11-5-4-9(16-11)6-8-2-1-3-10(7-8)17-18(13,14)15/h1-3,7,9H,4-6H2,(H,13,14,15)'";"'FOBI:030498'";"'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate'";
'5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;;;;;"'HWTHTKOQADEPQM-UHFFFAOYSA-N'";"'InChI=1S/C11H12O6S/c12-11-6-5-10(16-11)7-8-1-3-9(4-2-8)17-18(13,14)15/h1-4,10H,5-7H2,(H,13,14,15)'";"'FOBI:030499'";"'5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone';Class;Catechols;"'134347'";;;"'152432'";"'ZNXXWTPQHVLMQT-UHFFFAOYSA-N'";"'InChI=1S/C11H12O4/c12-9-3-1-7(6-10(9)13)5-8-2-4-11(14)15-8/h1,3,6,8,12-13H,2,4-5H2'";"'FOBI:030500'";"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenol ethers';;;;;"'RALBOGKBFZBDKY-UHFFFAOYSA-N'";"'InChI=1S/C18H22O10/c19-9-3-1-7(5-8-2-4-11(20)27-8)6-10(9)28-17-12(18(25)26)13(21)14(22)15(23)16(17)24/h1,3,6,8,12-17,19,21-24H,2,4-5H2,(H,25,26)'";"'FOBI:030501'";"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';;;;"'124202077'";"'OTBJYBQGMPICIK-GHPVWUPISA-N'";"'InChI=1S/C17H20O10/c18-9-6-7(5-8-2-4-11(19)25-8)1-3-10(9)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h1,3,6,8,12-15,17-18,20-22H,2,4-5H2,(H,23,24)/t8?,12-,13-,14+,15-,17+/m1/s1'";"'FOBI:030502'";"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;;;;;"'YAXFVDUJDAQPTJ-UHFFFAOYSA-N'";"'InChI=1S/C11H12O7S/c12-9-3-1-7(5-8-2-4-11(13)17-8)6-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)'";"'FOBI:030503'";"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate'";
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide';Class;'Phenolic glycosides';;;;"'124202085'";"'RUSMDDXSDLDLKU-PHPHFFAHSA-N'";"'InChI=1S/C17H20O10/c18-8-3-7(4-9-1-2-11(19)25-9)5-10(6-8)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h3,5-6,9,12-15,17-18,20-22H,1-2,4H2,(H,23,24)/t9?,12-,13-,14+,15-,17+/m0/s1'";"'FOBI:030504'";"'5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide'";
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate';Class;Phenylsulfates;;;;;"'CVGUPVHDNVLHLW-UHFFFAOYSA-N'";"'InChI=1S/C11H12O7S/c12-8-3-7(4-9-1-2-11(13)17-9)5-10(6-8)18-19(14,15)16/h3,5-6,9,12H,1-2,4H2,(H,14,15,16)'";"'FOBI:030505'";"'5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate'";
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone';Class;'Pyrogallols and derivatives';;;;"'44389277'";"'CZVAQLJEUUFQCH-UHFFFAOYSA-N'";"'InChI=1S/C11H12O5/c12-8-4-6(5-9(13)11(8)15)3-7-1-2-10(14)16-7/h4-5,7,12-13,15H,1-3H2'";"'FOBI:030506'";"'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone'";
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenolic glycosides';;;;;"'VQHXMQYHVVQQFP-CXWHQSFFSA-N'";"'InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(19)26-7)5-9(11(8)20)27-17-14(23)12(21)13(22)15(28-17)16(24)25/h4-5,7,12-15,17-18,20-23H,1-3H2,(H,24,25)/t7?,12-,13-,14+,15-,17?/m0/s1'";"'FOBI:030507'";"'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-glucuronide'";
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';;;;;"'ATYNVCXMADLPJQ-YSVLGHOVSA-N'";"'InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(20)26-7)5-9(19)14(8)27-17-13(23)11(21)12(22)15(28-17)16(24)25/h4-5,7,11-13,15,17-19,21-23H,1-3H2,(H,24,25)/t7?,11-,12-,13+,15-,17+/m0/s1'";"'FOBI:030508'";"'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-glucuronide'";
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;;;;;"'OMISYDASOKPVDK-UHFFFAOYSA-N'";"'InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(13)18-7)5-9(11(8)14)19-20(15,16)17/h4-5,7,12,14H,1-3H2,(H,15,16,17)'";"'FOBI:030509'";"'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-sulfate'";
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;;;;;"'NPIMUIQBYBJSBB-UHFFFAOYSA-N'";"'InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(14)18-7)5-9(13)11(8)19-20(15,16)17/h4-5,7,12-13H,1-3H2,(H,15,16,17)'";"'FOBI:030510'";"'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-sulfate'";
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone';Class;Methoxyphenols;"'2293832'";;;"'3028410'";"'GCIFEQYZDROELP-UHFFFAOYSA-N'";"'InChI=1S/C12H14O4/c1-15-11-7-8(2-4-10(11)13)6-9-3-5-12(14)16-9/h2,4,7,9,13H,3,5-6H2,1H3'";"'FOBI:030511'";"'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone'";
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone glucuronide';Class;'Phenolic glycosides';;;;;"'NGMVEYPQYAIGEI-UHFFFAOYSA-N'";"'InChI=1S/C18H22O10/c1-25-11-7-8(6-9-3-5-12(19)26-9)2-4-10(11)27-18-15(22)13(20)14(21)16(28-18)17(23)24/h2,4,7,9,13-16,18,20-22H,3,5-6H2,1H3,(H,23,24)'";"'FOBI:030512'";"'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone glucuronide'";
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone sulfate';Class;Phenylsulfates;;;;;"'FYRRHCSCZYSADR-UHFFFAOYSA-N'";"'InChI=1S/C12H14O7S/c1-17-11-7-8(6-9-3-5-12(13)18-9)2-4-10(11)19-20(14,15)16/h2,4,7,9H,3,5-6H2,1H3,(H,14,15,16)'";"'FOBI:030513'";"'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone sulfate'";
'naringenin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;;;;"'51136360'";"'BDCRTIDKZGEVEN-DNPGXZAYSA-N'";"'InChI=1S/C21H20O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,13,16-19,21-23,25-27H,7H2,(H,28,29)/t13?,16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030515'";"'naringenin 7-glucuronide'";
hesperetin;Class;'4'-O-methylated flavonoids';"'65234'";"'HMDB05782'";"'C01709'";"'72281'";"'AIONOLUJZLIMTK-AWEZNQCLSA-N'";"'InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1'";"'FOBI:030518'";"'hesperetin'";
'hesperetin 3'-glucuronide';Class;'Flavonoid O-glucuronides';;;;"'46896123'";"'PJAUEKWZQWLQSU-WDXLFLMVSA-N'";"'InChI=1S/C22H22O12/c1-31-12-3-2-8(13-7-11(25)16-10(24)5-9(23)6-15(16)32-13)4-14(12)33-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,13,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t13?,17-,18-,19+,20-,22+/m0/s1'";"'FOBI:030519'";"'hesperetin 3'-glucuronide'";
'hesperetin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;;;;"'71777476'";"'NEAWXAXVQDDFJL-PLEVBHNASA-N'";"'InChI=1S/C22H22O12/c1-31-13-3-2-8(4-10(13)23)14-7-12(25)16-11(24)5-9(6-15(16)33-14)32-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,14,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t14?,17-,18-,19+,20-,22+/m0/s1'";"'FOBI:030520'";"'hesperetin 7-glucuronide'";
'hesperetin 7-sulfate';Class;'4'-O-methylated flavonoids';;;;;"'SKHOIXCPISQFMS-AWEZNQCLSA-N'";"'InChI=1S/C16H14O9S/c1-23-13-3-2-8(4-10(13)17)14-7-12(19)16-11(18)5-9(6-15(16)24-14)25-26(20,21)22/h2-6,14,17-18H,7H2,1H3,(H,20,21,22)/t14-/m0/s1'";"'FOBI:030521'";"'hesperetin 7-sulfate'";
'bergaptol glucuronide';Class;'Phenolic glycosides';;;;;"'VLWJVRACXDFSKC-UHFFFAOYSA-N'";"'InChI=1S/C17H14O10/c18-10-2-1-6-9(25-10)5-8-7(3-4-24-8)14(6)26-17-13(21)11(19)12(20)15(27-17)16(22)23/h1-5,11-13,15,17,19-21H,(H,22,23)'";"'FOBI:030524'";"'bergaptol glucuronide'";
'bergaptol sulfate';Class;5-hydroxypsoralens;;;;;"'MUJRAVJMPBKDAH-UHFFFAOYSA-'";"'InChI=1S/C11H6O7S/c12-10-2-1-6-9(17-10)5-8-7(3-4-16-8)11(6)18-19(13,14)15/h1-5H,(H,13,14,15)'";"'FOBI:030525'";"'bergaptol sulfate'";
'umbelliferone glucuronide';Class;'Coumarin glycosides';;;;"'125641'";"'PRYLPCLGPXGILY-DKBOKBLXSA-N'";"'InChI=1S/C15H14O9/c16-9-4-2-6-1-3-7(5-8(6)23-9)22-15-12(19)10(17)11(18)13(24-15)14(20)21/h1-5,10-13,15,17-19H,(H,20,21)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030526'";"'umbelliferone glucuronide'";
'umbelliferone sulfate';Class;'Coumarins and derivatives';;;;;"'LJOOSFYJELZGMR-UHFFFAOYSA-M'";"'InChI=1S/C9H6O6S/c10-9-4-2-6-1-3-7(5-8(6)14-9)15-16(11,12)13/h1-5H,(H,11,12,13)/p-1'";"'FOBI:030527'";"'umbelliferone sulfate'";
'daidzein 4'-glucuronide';Class;'Isoflavonoid O-glycosides';;;;"'23930394'";"'ATUYSKUVHUPXBV-ZFORQUDYSA-N'";"'InChI=1S/C21H18O10/c22-10-3-6-12-14(7-10)29-8-13(15(12)23)9-1-4-11(5-2-9)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030531'";"'daidzein 4'-glucuronide'";
'daidzein 7-glucuronide';Class;'Isoflavonoid O-glycosides';"'9491321'";;;"'11316354'";"'MMIBOZXVZLENRZ-ZFORQUDYSA-N'";"'InChI=1S/C21H18O10/c22-10-3-1-9(2-4-10)13-8-29-14-7-11(5-6-12(14)15(13)23)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030532'";"'daidzein 7-glucuronide'";
'daidzein diglucuronide';Class;'Isoflavonoid O-glycosides';;;;;"'NSJKNMPSMHSBQD-MWBUVXCNSA-N'";"'InChI=1S/C27H26O16/c28-15-12-6-5-11(41-27-21(34)17(30)19(32)23(43-27)25(37)38)7-14(12)39-8-13(15)9-1-3-10(4-2-9)40-26-20(33)16(29)18(31)22(42-26)24(35)36/h1-8,16-23,26-27,29-34H,(H,35,36)(H,37,38)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1'";"'FOBI:030533'";"'daidzein diglucuronide'";
'daidzein 7-glucuronide-4'-sulfate';Class;'Isoflavonoid O-glycosides';;;;;"'GFHHFNZYJNKWPT-ZFORQUDYSA-N'";"'InChI=1S/C21H18O13S/c22-15-12-6-5-11(32-21-18(25)16(23)17(24)19(33-21)20(26)27)7-14(12)31-8-13(15)9-1-3-10(4-2-9)34-35(28,29)30/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030534'";"'daidzein 7-glucuronide-4'-sulfate'";
'daidzein 4'-glucuronide-7-sulfate';Class;'Isoflavonoid O-glycosides';;;;;"'HQYWZCFQCBVQJZ-HGMWCATMSA-N'";"'InChI=1S/C21H18O13S/c22-15-12-6-5-11(34-35(28,29)30)7-14(12)31-8-13(15)9-1-3-10(4-2-9)32-21-18(25)16(23)17(24)19(33-21)20(26)27/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17?,18?,19-,21+/m1/s1'";"'FOBI:030535'";"'daidzein 4'-glucuronide-7-sulfate'";
'daidzein 4'-sulfate';Class;Isoflavones;"'13076689'";;;"'12114463'";"'CQRHJEVIKOKQMO-UHFFFAOYSA-N'";"'InChI=1S/C15H10O7S/c16-10-3-6-12-14(7-10)21-8-13(15(12)17)9-1-4-11(5-2-9)22-23(18,19)20/h1-8,16H,(H,18,19,20)'";"'FOBI:030536'";"'daidzein 4'-sulfate'";
'genistein 4'-glucuronide';Class;'Isoflavonoid O-glycosides';;;;"'45782816'";"'NHEBJNCJBWUPCK-ZFORQUDYSA-N'";"'InChI=1S/C21H18O11/c22-9-5-12(23)14-13(6-9)30-7-11(15(14)24)8-1-3-10(4-2-8)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030538'";"'genistein 4'-glucuronide'";
'genistein 7-glucuronide';Class;'Isoflavonoid O-glycosides';"'13083403'";;;"'15940724'";"'JIVINIISUDEORF-ZFORQUDYSA-N'";"'InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)11-7-30-13-6-10(5-12(23)14(13)15(11)24)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030539'";"'genistein 7-glucuronide'";
'genistein diglucuronide';Class;'Isoflavonoid O-glycosides';;;;;"'DFJSPRNCKDBZIJ-MWBUVXCNSA-N'";"'InChI=1S/C27H26O17/c28-12-5-10(42-27-21(35)17(31)19(33)23(44-27)25(38)39)6-13-14(12)15(29)11(7-40-13)8-1-3-9(4-2-8)41-26-20(34)16(30)18(32)22(43-26)24(36)37/h1-7,16-23,26-28,30-35H,(H,36,37)(H,38,39)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1'";"'FOBI:030540'";"'genistein diglucuronide'";
'genistein 4'-glucuronide-7-sulfate';Class;'Isoflavonoid O-glycosides';;;;;"'SQCSMLZKGFBVFL-ZFORQUDYSA-N'";"'InChI=1S/C21H18O14S/c22-12-5-10(35-36(29,30)31)6-13-14(12)15(23)11(7-32-13)8-1-3-9(4-2-8)33-21-18(26)16(24)17(25)19(34-21)20(27)28/h1-7,16-19,21-22,24-26H,(H,27,28)(H,29,30,31)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030541'";"'genistein 4'-glucuronide-7-sulfate'";
'genistein 7-glucuronide-4'-sulfate';Class;'Isoflavonoid O-glycosides';;;;;"'JZFIWABEFJYNRS-DSGPYVBMSA-L'";"'InChI=1S/C21H18O14S.2Na/c22-12-5-10(33-21-18(26)16(24)17(25)19(34-21)20(27)28)6-13-14(12)15(23)11(7-32-13)8-1-3-9(4-2-8)35-36(29,30)31;;/h1-7,16-19,21-22,24-26H,(H,27,28)(H,29,30,31);;/q;2*+1/p-2/t16-,17-,18+,19-,21+;;/m0../s1'";"'FOBI:030542'";"'genistein 7-glucuronide-4'-sulfate'";
'genistein 7-sulfate';Class;Isoflavones;"'8466977'";;;"'10291508'";"'DKEIWIJUHWVGRC-UHFFFAOYSA-N'";"'InChI=1S/C15H10O8S/c16-9-3-1-8(2-4-9)11-7-22-13-6-10(23-24(19,20)21)5-12(17)14(13)15(11)18/h1-7,16-17H,(H,19,20,21)'";"'FOBI:030543'";"'genistein 7-sulfate'";
'equol 7-glucuronide';Class;'Isoflavonoid O-glycosides';;;;"'29979359'";"'XDPLKWRSVXUQBN-LVEHSUOCSA-N'";"'InChI=1S/C21H22O9/c22-13-4-1-10(2-5-13)12-7-11-3-6-14(8-15(11)28-9-12)29-21-18(25)16(23)17(24)19(30-21)20(26)27/h1-6,8,12,16-19,21-25H,7,9H2,(H,26,27)/t12-,16+,17+,18-,19+,21-/m1/s1'";"'FOBI:030545'";"'equol 7-glucuronide'";
'equol 4'-sulfate';Class;Isoflavanols;;;;;"'UXOJWGSGKUYMIA-GFCCVEGCSA-M'";"'InChI=1S/C15H14O6S/c16-13-4-1-11-7-12(9-20-15(11)8-13)10-2-5-14(6-3-10)21-22(17,18)19/h1-6,8,12,16H,7,9H2,(H,17,18,19)/p-1/t12-/m1/s1'";"'FOBI:030546'";"'equol 4'-sulfate'";
'biochanin a 7-glucuronide';Class;'Isoflavonoid O-glycosides';;;;;"'KXYGEGYBMOCKNJ-SXFAUFNYSA-N'";"'InChI=1S/C22H20O11/c1-30-10-4-2-9(3-5-10)12-8-31-14-7-11(6-13(23)15(14)16(12)24)32-22-19(27)17(25)18(26)20(33-22)21(28)29/h2-8,17-20,22-23,25-27H,1H3,(H,28,29)/t17-,18-,19+,20-,22+/m0/s1'";"'FOBI:030548'";"'biochanin a 7-glucuronide'";
